Release,Perf,Quantile,Value
PyAF-1.0,L1,0,11.125
PyAF-1.0,L1,10,44.3058
PyAF-1.0,L1,20,77.4163
PyAF-1.0,L1,30,114.7348
PyAF-1.0,L1,40,145.9038
PyAF-1.0,L1,50,216.1556
PyAF-1.0,L1,60,291.0636
PyAF-1.0,L1,70,379.5713
PyAF-1.0,L1,80,575.6946
PyAF-1.0,L1,90,811.0793
PyAF-1.0,L1,100,2104.0921
PyAF-1.0,L2,0,14.2872
PyAF-1.0,L2,10,55.3543
PyAF-1.0,L2,20,88.7673
PyAF-1.0,L2,30,138.3153
PyAF-1.0,L2,40,165.4956
PyAF-1.0,L2,50,242.951
PyAF-1.0,L2,60,327.3289
PyAF-1.0,L2,70,423.5474
PyAF-1.0,L2,80,656.1303
PyAF-1.0,L2,90,940.7934
PyAF-1.0,L2,100,2516.0529
PyAF-1.0,MAPE,0,0.0042
PyAF-1.0,MAPE,10,0.0131
PyAF-1.0,MAPE,20,0.0217
PyAF-1.0,MAPE,30,0.0323
PyAF-1.0,MAPE,40,0.0418
PyAF-1.0,MAPE,50,0.0518
PyAF-1.0,MAPE,60,0.0789
PyAF-1.0,MAPE,70,0.1038
PyAF-1.0,MAPE,80,0.1378
PyAF-1.0,MAPE,90,0.1891
PyAF-1.0,MAPE,100,0.7612
PyAF-1.0,SMAPE,0,0.0042
PyAF-1.0,SMAPE,10,0.0132
PyAF-1.0,SMAPE,20,0.0217
PyAF-1.0,SMAPE,30,0.0328
PyAF-1.0,SMAPE,40,0.0417
PyAF-1.0,SMAPE,50,0.0534
PyAF-1.0,SMAPE,60,0.0754
PyAF-1.0,SMAPE,70,0.1001
PyAF-1.0,SMAPE,80,0.135
PyAF-1.0,SMAPE,90,0.1926
PyAF-1.0,SMAPE,100,0.6353
PyAF-1.0,TrainingTime,0,3.72
PyAF-1.0,TrainingTime,10,4.126
PyAF-1.0,TrainingTime,20,4.378
PyAF-1.0,TrainingTime,30,4.62
PyAF-1.0,TrainingTime,40,4.892
PyAF-1.0,TrainingTime,50,5.1
PyAF-1.0,TrainingTime,60,5.28
PyAF-1.0,TrainingTime,70,5.482
PyAF-1.0,TrainingTime,80,5.57
PyAF-1.0,TrainingTime,90,5.76
PyAF-1.0,TrainingTime,100,6.24
PyAF-2.0,L1,0,11.125
PyAF-2.0,L1,10,44.3058
PyAF-2.0,L1,20,77.4163
PyAF-2.0,L1,30,114.7348
PyAF-2.0,L1,40,145.9038
PyAF-2.0,L1,50,205.0383
PyAF-2.0,L1,60,290.5367
PyAF-2.0,L1,70,377.83
PyAF-2.0,L1,80,565.5375
PyAF-2.0,L1,90,811.0793
PyAF-2.0,L1,100,2314.7073
PyAF-2.0,L2,0,14.2872
PyAF-2.0,L2,10,55.3543
PyAF-2.0,L2,20,88.7673
PyAF-2.0,L2,30,138.3153
PyAF-2.0,L2,40,165.4956
PyAF-2.0,L2,50,238.7346
PyAF-2.0,L2,60,322.5715
PyAF-2.0,L2,70,422.6106
PyAF-2.0,L2,80,641.9804
PyAF-2.0,L2,90,940.7934
PyAF-2.0,L2,100,2516.0529
PyAF-2.0,MAPE,0,0.0042
PyAF-2.0,MAPE,10,0.0131
PyAF-2.0,MAPE,20,0.0214
PyAF-2.0,MAPE,30,0.0307
PyAF-2.0,MAPE,40,0.0407
PyAF-2.0,MAPE,50,0.0516
PyAF-2.0,MAPE,60,0.0767
PyAF-2.0,MAPE,70,0.1005
PyAF-2.0,MAPE,80,0.1378
PyAF-2.0,MAPE,90,0.184
PyAF-2.0,MAPE,100,0.8816
PyAF-2.0,SMAPE,0,0.0042
PyAF-2.0,SMAPE,10,0.0132
PyAF-2.0,SMAPE,20,0.0215
PyAF-2.0,SMAPE,30,0.0304
PyAF-2.0,SMAPE,40,0.041
PyAF-2.0,SMAPE,50,0.053
PyAF-2.0,SMAPE,60,0.0744
PyAF-2.0,SMAPE,70,0.0986
PyAF-2.0,SMAPE,80,0.1355
PyAF-2.0,SMAPE,90,0.1831
PyAF-2.0,SMAPE,100,0.6353
PyAF-2.0,TrainingTime,0,3.98
PyAF-2.0,TrainingTime,10,4.34
PyAF-2.0,TrainingTime,20,4.43
PyAF-2.0,TrainingTime,30,4.51
PyAF-2.0,TrainingTime,40,4.58
PyAF-2.0,TrainingTime,50,4.62
PyAF-2.0,TrainingTime,60,4.69
PyAF-2.0,TrainingTime,70,4.801
PyAF-2.0,TrainingTime,80,4.964
PyAF-2.0,TrainingTime,90,5.154
PyAF-2.0,TrainingTime,100,5.76
PyAF-3.0,L1,0,11.125
PyAF-3.0,L1,10,44.3058
PyAF-3.0,L1,20,77.4163
PyAF-3.0,L1,30,114.7348
PyAF-3.0,L1,40,145.9038
PyAF-3.0,L1,50,205.0383
PyAF-3.0,L1,60,290.5367
PyAF-3.0,L1,70,377.83
PyAF-3.0,L1,80,565.5375
PyAF-3.0,L1,90,811.0793
PyAF-3.0,L1,100,2314.7073
PyAF-3.0,L2,0,14.2872
PyAF-3.0,L2,10,55.3543
PyAF-3.0,L2,20,88.7673
PyAF-3.0,L2,30,138.3153
PyAF-3.0,L2,40,165.4956
PyAF-3.0,L2,50,238.7346
PyAF-3.0,L2,60,322.5715
PyAF-3.0,L2,70,422.6106
PyAF-3.0,L2,80,641.9804
PyAF-3.0,L2,90,940.7934
PyAF-3.0,L2,100,2516.0529
PyAF-3.0,MAPE,0,0.0042
PyAF-3.0,MAPE,10,0.0131
PyAF-3.0,MAPE,20,0.0214
PyAF-3.0,MAPE,30,0.0307
PyAF-3.0,MAPE,40,0.0407
PyAF-3.0,MAPE,50,0.0516
PyAF-3.0,MAPE,60,0.0767
PyAF-3.0,MAPE,70,0.1005
PyAF-3.0,MAPE,80,0.1378
PyAF-3.0,MAPE,90,0.184
PyAF-3.0,MAPE,100,0.8816
PyAF-3.0,SMAPE,0,0.0042
PyAF-3.0,SMAPE,10,0.0132
PyAF-3.0,SMAPE,20,0.0215
PyAF-3.0,SMAPE,30,0.0304
PyAF-3.0,SMAPE,40,0.041
PyAF-3.0,SMAPE,50,0.053
PyAF-3.0,SMAPE,60,0.0744
PyAF-3.0,SMAPE,70,0.0986
PyAF-3.0,SMAPE,80,0.1355
PyAF-3.0,SMAPE,90,0.1831
PyAF-3.0,SMAPE,100,0.6353
PyAF-3.0,TrainingTime,0,3.98
PyAF-3.0,TrainingTime,10,4.34
PyAF-3.0,TrainingTime,20,4.43
PyAF-3.0,TrainingTime,30,4.51
PyAF-3.0,TrainingTime,40,4.58
PyAF-3.0,TrainingTime,50,4.62
PyAF-3.0,TrainingTime,60,4.69
PyAF-3.0,TrainingTime,70,4.801
PyAF-3.0,TrainingTime,80,4.964
PyAF-3.0,TrainingTime,90,5.154
PyAF-3.0,TrainingTime,100,5.76
PyAF-4.0,L1,0,8.0988
PyAF-4.0,L1,10,57.0852
PyAF-4.0,L1,20,79.1314
PyAF-4.0,L1,30,106.4523
PyAF-4.0,L1,40,146.25
PyAF-4.0,L1,50,175.8572
PyAF-4.0,L1,60,230.5248
PyAF-4.0,L1,70,337.5238
PyAF-4.0,L1,80,479.775
PyAF-4.0,L1,90,853.4161
PyAF-4.0,L1,100,3116.2633
PyAF-4.0,L2,0,9.9395
PyAF-4.0,L2,10,64.9163
PyAF-4.0,L2,20,88.519
PyAF-4.0,L2,30,120.6493
PyAF-4.0,L2,40,155.1216
PyAF-4.0,L2,50,205.6497
PyAF-4.0,L2,60,257.7176
PyAF-4.0,L2,70,341.245
PyAF-4.0,L2,80,514.7538
PyAF-4.0,L2,90,954.1791
PyAF-4.0,L2,100,3138.9352
PyAF-4.0,MAPE,0,0.0015
PyAF-4.0,MAPE,10,0.0143
PyAF-4.0,MAPE,20,0.0213
PyAF-4.0,MAPE,30,0.0294
PyAF-4.0,MAPE,40,0.0421
PyAF-4.0,MAPE,50,0.0558
PyAF-4.0,MAPE,60,0.0729
PyAF-4.0,MAPE,70,0.0915
PyAF-4.0,MAPE,80,0.1184
PyAF-4.0,MAPE,90,0.1543
PyAF-4.0,MAPE,100,0.8727
PyAF-4.0,SMAPE,0,0.0015
PyAF-4.0,SMAPE,10,0.0141
PyAF-4.0,SMAPE,20,0.0214
PyAF-4.0,SMAPE,30,0.0294
PyAF-4.0,SMAPE,40,0.041
PyAF-4.0,SMAPE,50,0.0546
PyAF-4.0,SMAPE,60,0.0706
PyAF-4.0,SMAPE,70,0.0916
PyAF-4.0,SMAPE,80,0.1109
PyAF-4.0,SMAPE,90,0.1604
PyAF-4.0,SMAPE,100,0.5741
PyAF-4.0,TrainingTime,0,2.14
PyAF-4.0,TrainingTime,10,2.28
PyAF-4.0,TrainingTime,20,2.3
PyAF-4.0,TrainingTime,30,2.32
PyAF-4.0,TrainingTime,40,2.35
PyAF-4.0,TrainingTime,50,2.37
PyAF-4.0,TrainingTime,60,2.398
PyAF-4.0,TrainingTime,70,2.44
PyAF-4.0,TrainingTime,80,2.504
PyAF-4.0,TrainingTime,90,2.981
PyAF-4.0,TrainingTime,100,3.44
