Release,Perf,Quantile,Value
PyAF-2.0,L1,0,0.0497
PyAF-2.0,L1,10,0.1204
PyAF-2.0,L1,20,0.3714
PyAF-2.0,L1,30,0.8027
PyAF-2.0,L1,40,1.2025
PyAF-2.0,L1,50,2.9157
PyAF-2.0,L1,60,3.1673
PyAF-2.0,L1,70,5.3018
PyAF-2.0,L1,80,12.9323
PyAF-2.0,L1,90,26.8276
PyAF-2.0,L1,100,332.5222
PyAF-2.0,L2,0,0.0504
PyAF-2.0,L2,10,0.1236
PyAF-2.0,L2,20,0.4445
PyAF-2.0,L2,30,0.9152
PyAF-2.0,L2,40,1.3585
PyAF-2.0,L2,50,3.3074
PyAF-2.0,L2,60,3.7902
PyAF-2.0,L2,70,7.6635
PyAF-2.0,L2,80,14.7768
PyAF-2.0,L2,90,28.6119
PyAF-2.0,L2,100,344.198
PyAF-2.0,MAPE,0,0.0054
PyAF-2.0,MAPE,10,0.0125
PyAF-2.0,MAPE,20,0.0269
PyAF-2.0,MAPE,30,0.0348
PyAF-2.0,MAPE,40,0.0437
PyAF-2.0,MAPE,50,0.0565
PyAF-2.0,MAPE,60,0.0719
PyAF-2.0,MAPE,70,0.1108
PyAF-2.0,MAPE,80,0.1285
PyAF-2.0,MAPE,90,0.2458
PyAF-2.0,MAPE,100,1.0
PyAF-2.0,SMAPE,0,0.0055
PyAF-2.0,SMAPE,10,0.0125
PyAF-2.0,SMAPE,20,0.0268
PyAF-2.0,SMAPE,30,0.0346
PyAF-2.0,SMAPE,40,0.0441
PyAF-2.0,SMAPE,50,0.0592
PyAF-2.0,SMAPE,60,0.0742
PyAF-2.0,SMAPE,70,0.1101
PyAF-2.0,SMAPE,80,0.1269
PyAF-2.0,SMAPE,90,0.206
PyAF-2.0,SMAPE,100,2.0
PyAF-2.0,MASE,0,0.1285
PyAF-2.0,MASE,10,0.2954
PyAF-2.0,MASE,20,0.4733
PyAF-2.0,MASE,30,0.7836
PyAF-2.0,MASE,40,0.9245
PyAF-2.0,MASE,50,1.1052
PyAF-2.0,MASE,60,1.6115
PyAF-2.0,MASE,70,2.2984
PyAF-2.0,MASE,80,3.6636
PyAF-2.0,MASE,90,5.5872
PyAF-2.0,MASE,100,14.9865
PyAF-2.0,TrainingTime,0,3.34
PyAF-2.0,TrainingTime,10,3.476
PyAF-2.0,TrainingTime,20,3.556
PyAF-2.0,TrainingTime,30,3.862
PyAF-2.0,TrainingTime,40,4.102
PyAF-2.0,TrainingTime,50,4.95
PyAF-2.0,TrainingTime,60,5.242
