Release,Perf,Quantile,Value
PyAF-1.0,L1,0,0.005
PyAF-1.0,L1,10,1.4549
PyAF-1.0,L1,20,4.6146
PyAF-1.0,L1,30,10.4444
PyAF-1.0,L1,40,18.3157
PyAF-1.0,L1,50,43.1953
PyAF-1.0,L1,60,118.8281
PyAF-1.0,L1,70,340.5223
PyAF-1.0,L1,80,1205.987
PyAF-1.0,L1,90,4194.1794
PyAF-1.0,L1,100,11455230.4973
PyAF-1.0,L2,0,0.0078
PyAF-1.0,L2,10,1.6436
PyAF-1.0,L2,20,5.6123
PyAF-1.0,L2,30,12.275
PyAF-1.0,L2,40,22.3668
PyAF-1.0,L2,50,48.7633
PyAF-1.0,L2,60,142.1714
PyAF-1.0,L2,70,399.7456
PyAF-1.0,L2,80,1399.9409
PyAF-1.0,L2,90,4713.544
PyAF-1.0,L2,100,12504288.2111
PyAF-1.0,MAPE,0,0.0002
PyAF-1.0,MAPE,10,0.0315
PyAF-1.0,MAPE,20,0.0536
PyAF-1.0,MAPE,30,0.0758
PyAF-1.0,MAPE,40,0.1027
PyAF-1.0,MAPE,50,0.1319
PyAF-1.0,MAPE,60,0.1661
PyAF-1.0,MAPE,70,0.2071
PyAF-1.0,MAPE,80,0.2754
PyAF-1.0,MAPE,90,0.4256
PyAF-1.0,MAPE,100,100592215.1119
PyAF-1.0,SMAPE,0,0.0002
PyAF-1.0,SMAPE,10,0.0317
PyAF-1.0,SMAPE,20,0.0537
PyAF-1.0,SMAPE,30,0.0762
PyAF-1.0,SMAPE,40,0.1016
PyAF-1.0,SMAPE,50,0.1318
PyAF-1.0,SMAPE,60,0.1645
PyAF-1.0,SMAPE,70,0.2021
PyAF-1.0,SMAPE,80,0.2628
PyAF-1.0,SMAPE,90,0.4
PyAF-1.0,SMAPE,100,2.0
PyAF-1.0,TrainingTime,0,2.24
PyAF-1.0,TrainingTime,10,3.87
PyAF-1.0,TrainingTime,20,4.44
PyAF-1.0,TrainingTime,30,4.8
PyAF-1.0,TrainingTime,40,5.1
PyAF-1.0,TrainingTime,50,5.41
PyAF-1.0,TrainingTime,60,5.76
PyAF-1.0,TrainingTime,70,6.14
PyAF-1.0,TrainingTime,80,6.56
PyAF-1.0,TrainingTime,90,7.0
PyAF-1.0,TrainingTime,100,8.61
PyAF-2.0,L1,0,0.005
PyAF-2.0,L1,10,1.4549
PyAF-2.0,L1,20,4.6146
PyAF-2.0,L1,30,10.4551
PyAF-2.0,L1,40,18.0091
PyAF-2.0,L1,50,43.1953
PyAF-2.0,L1,60,118.8281
PyAF-2.0,L1,70,340.5223
PyAF-2.0,L1,80,1205.987
PyAF-2.0,L1,90,4194.1794
