Release,Perf,Quantile,Value
PyAF-1.0,L1,0,14.8001
PyAF-1.0,L1,10,90.8895
PyAF-1.0,L1,20,158.7995
PyAF-1.0,L1,30,243.3219
PyAF-1.0,L1,40,320.8377
PyAF-1.0,L1,50,423.6943
PyAF-1.0,L1,60,567.053
PyAF-1.0,L1,70,760.5438
PyAF-1.0,L1,80,1164.9978
PyAF-1.0,L1,90,1700.2536
PyAF-1.0,L1,100,17779.6863
PyAF-1.0,L2,0,19.5921
PyAF-1.0,L2,10,108.4599
PyAF-1.0,L2,20,188.2377
PyAF-1.0,L2,30,285.0243
PyAF-1.0,L2,40,380.7061
PyAF-1.0,L2,50,499.1855
PyAF-1.0,L2,60,680.754
PyAF-1.0,L2,70,895.6289
PyAF-1.0,L2,80,1297.3935
PyAF-1.0,L2,90,1889.9734
PyAF-1.0,L2,100,22422.2184
PyAF-1.0,MAPE,0,0.0025
PyAF-1.0,MAPE,10,0.0155
PyAF-1.0,MAPE,20,0.0288
PyAF-1.0,MAPE,30,0.0444
PyAF-1.0,MAPE,40,0.0594
PyAF-1.0,MAPE,50,0.0788
PyAF-1.0,MAPE,60,0.106
PyAF-1.0,MAPE,70,0.142
PyAF-1.0,MAPE,80,0.2037
PyAF-1.0,MAPE,90,0.3452
PyAF-1.0,MAPE,100,21.2213
PyAF-1.0,SMAPE,0,0.0025
PyAF-1.0,SMAPE,10,0.0155
PyAF-1.0,SMAPE,20,0.0286
PyAF-1.0,SMAPE,30,0.0445
PyAF-1.0,SMAPE,40,0.0602
PyAF-1.0,SMAPE,50,0.0782
PyAF-1.0,SMAPE,60,0.1073
PyAF-1.0,SMAPE,70,0.145
PyAF-1.0,SMAPE,80,0.2005
PyAF-1.0,SMAPE,90,0.3324
PyAF-1.0,SMAPE,100,2.0
PyAF-1.0,MASE,0,0.0462
PyAF-1.0,MASE,10,0.5254
PyAF-1.0,MASE,20,0.7887
PyAF-1.0,MASE,30,1.0177
PyAF-1.0,MASE,40,1.3696
PyAF-1.0,MASE,50,1.794
PyAF-1.0,MASE,60,2.3958
PyAF-1.0,MASE,70,3.3828
PyAF-1.0,MASE,80,4.9588
PyAF-1.0,MASE,90,10.0412
PyAF-1.0,MASE,100,49.7932
PyAF-1.0,TrainingTime,0,3.29
PyAF-1.0,TrainingTime,10,3.93
PyAF-1.0,TrainingTime,20,4.21
PyAF-1.0,TrainingTime,30,4.405
PyAF-1.0,TrainingTime,40,4.61
PyAF-1.0,TrainingTime,50,4.81
PyAF-1.0,TrainingTime,60,4.99
PyAF-1.0,TrainingTime,70,5.13
PyAF-1.0,TrainingTime,80,5.27
PyAF-1.0,TrainingTime,90,5.53
PyAF-1.0,TrainingTime,100,6.45
PyAF-2.0,L1,0,14.8001
PyAF-2.0,L1,10,90.8895
PyAF-2.0,L1,20,158.7995
PyAF-2.0,L1,30,243.3219
PyAF-2.0,L1,40,320.8377
PyAF-2.0,L1,50,423.6943
PyAF-2.0,L1,60,567.053
PyAF-2.0,L1,70,760.5438
PyAF-2.0,L1,80,1164.9978
PyAF-2.0,L1,90,1700.2536
PyAF-2.0,L1,100,17779.6863
PyAF-2.0,L2,0,19.5921
PyAF-2.0,L2,10,108.4599
PyAF-2.0,L2,20,188.2377
PyAF-2.0,L2,30,285.0243
