Release,Perf,Quantile,Value
PyAF-4.0,MAPE,50,0.0
PyAF-4.0,MAPE,60,0.1667
PyAF-4.0,MAPE,70,0.1667
PyAF-4.0,MAPE,80,0.1667
PyAF-4.0,MAPE,90,0.1667
PyAF-4.0,MAPE,100,0.5
PyAF-4.0,SMAPE,0,0.0
PyAF-4.0,SMAPE,10,0.0
PyAF-4.0,SMAPE,20,0.0
PyAF-4.0,SMAPE,30,0.0
PyAF-4.0,SMAPE,40,0.0
PyAF-4.0,SMAPE,50,0.0
PyAF-4.0,SMAPE,60,0.3333
PyAF-4.0,SMAPE,70,0.3333
PyAF-4.0,SMAPE,80,0.3333
PyAF-4.0,SMAPE,90,0.3333
PyAF-4.0,SMAPE,100,1.0
PyAF-4.0,MASE,0,0.0
PyAF-4.0,MASE,10,0.0
PyAF-4.0,MASE,20,0.0
PyAF-4.0,MASE,30,0.0
PyAF-4.0,MASE,40,0.0
PyAF-4.0,MASE,50,0.0
PyAF-4.0,MASE,60,0.4167
PyAF-4.0,MASE,70,0.4167
PyAF-4.0,MASE,80,0.4167
PyAF-4.0,MASE,90,0.8333
PyAF-4.0,MASE,100,2.5
PyAF-4.0,TrainingTime,0,2.09
PyAF-4.0,TrainingTime,10,2.22
PyAF-4.0,TrainingTime,20,2.24
PyAF-4.0,TrainingTime,30,2.26
PyAF-4.0,TrainingTime,40,2.27
PyAF-4.0,TrainingTime,50,2.28
PyAF-4.0,TrainingTime,60,2.3
PyAF-4.0,TrainingTime,70,2.34
PyAF-4.0,TrainingTime,80,2.41
PyAF-4.0,TrainingTime,90,2.79
PyAF-4.0,TrainingTime,100,3.76
PyAF-5.0,L1,0,0.0
PyAF-5.0,L1,10,0.0
PyAF-5.0,L1,20,0.0
PyAF-5.0,L1,30,0.0
PyAF-5.0,L1,40,0.0
PyAF-5.0,L1,50,0.0
PyAF-5.0,L1,60,0.1667
PyAF-5.0,L1,70,0.3333
PyAF-5.0,L1,80,0.6667
PyAF-5.0,L1,90,2.1834
PyAF-5.0,L1,100,15002312.0215
PyAF-5.0,L2,0,0.0
PyAF-5.0,L2,10,0.0
PyAF-5.0,L2,20,0.0
PyAF-5.0,L2,30,0.0
PyAF-5.0,L2,40,0.0
PyAF-5.0,L2,50,0.0
PyAF-5.0,L2,60,0.4082
PyAF-5.0,L2,70,0.5774
PyAF-5.0,L2,80,1.633
PyAF-5.0,L2,90,4.899
PyAF-5.0,L2,100,29723220.9093
PyAF-5.0,MAPE,0,0.0
PyAF-5.0,MAPE,10,0.0
PyAF-5.0,MAPE,20,0.0
PyAF-5.0,MAPE,30,0.0
PyAF-5.0,MAPE,40,0.0
PyAF-5.0,MAPE,50,0.0
PyAF-5.0,MAPE,60,0.1667
PyAF-5.0,MAPE,70,0.1667
PyAF-5.0,MAPE,80,0.1667
PyAF-5.0,MAPE,90,0.1667
PyAF-5.0,MAPE,100,1.4973389041102298e+17
PyAF-5.0,SMAPE,0,0.0
PyAF-5.0,SMAPE,10,0.0
PyAF-5.0,SMAPE,20,0.0
PyAF-5.0,SMAPE,30,0.0
PyAF-5.0,SMAPE,40,0.0
PyAF-5.0,SMAPE,50,0.0
PyAF-5.0,SMAPE,60,0.3333
PyAF-5.0,SMAPE,70,0.3333
PyAF-5.0,SMAPE,80,0.3333
PyAF-5.0,SMAPE,90,0.3333
PyAF-5.0,SMAPE,100,2.0
PyAF-5.0,MASE,0,0.0
PyAF-5.0,MASE,10,0.0
PyAF-5.0,MASE,20,0.0
PyAF-5.0,MASE,30,0.0
PyAF-5.0,MASE,40,0.0
PyAF-5.0,MASE,50,0.0
PyAF-5.0,MASE,60,0.4167
PyAF-5.0,MASE,70,0.4167
PyAF-5.0,MASE,80,0.4167
PyAF-5.0,MASE,90,0.8333
PyAF-5.0,MASE,100,12501926.6836
PyAF-5.0,TrainingTime,0,5.23
PyAF-5.0,TrainingTime,10,6.0
PyAF-5.0,TrainingTime,20,6.46
PyAF-5.0,TrainingTime,30,6.877
PyAF-5.0,TrainingTime,40,7.31
PyAF-5.0,TrainingTime,50,7.74
PyAF-5.0,TrainingTime,60,8.09
PyAF-5.0,TrainingTime,70,8.28
PyAF-5.0,TrainingTime,80,8.402
PyAF-5.0,TrainingTime,90,8.54
PyAF-5.0,TrainingTime,100,9.21
