Release,Perf,Quantile,Value
PyAF-1.0,L1,0,0.0
PyAF-1.0,L1,10,0.6698
PyAF-1.0,L1,20,1.6134
PyAF-1.0,L1,30,3.012
PyAF-1.0,L1,40,5.2665
PyAF-1.0,L1,50,10.486
PyAF-1.0,L1,60,28.123
PyAF-1.0,L1,70,95.2062
PyAF-1.0,L1,80,349.9651
PyAF-1.0,L1,90,3964.9895
PyAF-1.0,L1,100,1235479895384.585
PyAF-1.0,L2,0,0.0
PyAF-1.0,L2,10,0.8224
PyAF-1.0,L2,20,1.9176
PyAF-1.0,L2,30,3.5956
PyAF-1.0,L2,40,6.1447
PyAF-1.0,L2,50,11.8394
PyAF-1.0,L2,60,33.9023
PyAF-1.0,L2,70,109.0745
PyAF-1.0,L2,80,405.5496
PyAF-1.0,L2,90,5211.1284
PyAF-1.0,L2,100,1426603645059.1946
PyAF-1.0,MAPE,0,0.0
PyAF-1.0,MAPE,10,0.0165
PyAF-1.0,MAPE,20,0.0286
PyAF-1.0,MAPE,30,0.0406
PyAF-1.0,MAPE,40,0.057
PyAF-1.0,MAPE,50,0.0787
PyAF-1.0,MAPE,60,0.1133
PyAF-1.0,MAPE,70,0.1725
PyAF-1.0,MAPE,80,0.2812
PyAF-1.0,MAPE,90,0.7249
PyAF-1.0,MAPE,100,17515229478.2698
PyAF-1.0,SMAPE,0,0.0
PyAF-1.0,SMAPE,10,0.0163
PyAF-1.0,SMAPE,20,0.0288
PyAF-1.0,SMAPE,30,0.0404
PyAF-1.0,SMAPE,40,0.058
PyAF-1.0,SMAPE,50,0.0794
PyAF-1.0,SMAPE,60,0.1135
PyAF-1.0,SMAPE,70,0.1699
PyAF-1.0,SMAPE,80,0.283
PyAF-1.0,SMAPE,90,0.6223
PyAF-1.0,SMAPE,100,2.0
PyAF-1.0,TrainingTime,0,3.58
PyAF-1.0,TrainingTime,10,5.809
PyAF-1.0,TrainingTime,20,6.48
PyAF-1.0,TrainingTime,30,6.98
PyAF-1.0,TrainingTime,40,7.38
PyAF-1.0,TrainingTime,50,7.82
PyAF-1.0,TrainingTime,60,8.31
PyAF-1.0,TrainingTime,70,9.02
PyAF-1.0,TrainingTime,80,9.792
PyAF-1.0,TrainingTime,90,10.74
PyAF-1.0,TrainingTime,100,16.64
PyAF-2.0,L1,0,0.0
PyAF-2.0,L1,10,0.6565
PyAF-2.0,L1,20,1.6122
PyAF-2.0,L1,30,3.012
PyAF-2.0,L1,40,5.2429
PyAF-2.0,L1,50,10.4768
PyAF-2.0,L1,60,27.9186
PyAF-2.0,L1,70,95.2062
PyAF-2.0,L1,80,348.2025
PyAF-2.0,L1,90,3964.9895
PyAF-2.0,L1,100,1235479895384.585
PyAF-2.0,L2,0,0.0
PyAF-2.0,L2,10,0.8122
PyAF-2.0,L2,20,1.9072
PyAF-2.0,L2,30,3.5956
PyAF-2.0,L2,40,6.1365
PyAF-2.0,L2,50,11.7086
PyAF-2.0,L2,60,33.7247
PyAF-2.0,L2,70,109.0745
PyAF-2.0,L2,80,398.9528
PyAF-2.0,L2,90,5211.1284
PyAF-2.0,L2,100,1426603645059.1946
PyAF-2.0,MAPE,0,0.0
PyAF-2.0,MAPE,10,0.0163
PyAF-2.0,MAPE,20,0.0285
PyAF-2.0,MAPE,30,0.0405
PyAF-2.0,MAPE,40,0.0571
PyAF-2.0,MAPE,50,0.0788
PyAF-2.0,MAPE,60,0.1133
PyAF-2.0,MAPE,70,0.1732
PyAF-2.0,MAPE,80,0.2822
PyAF-2.0,MAPE,90,0.7249
PyAF-2.0,MAPE,100,17515229478.2698
PyAF-2.0,SMAPE,0,0.0
PyAF-2.0,SMAPE,10,0.0163
PyAF-2.0,SMAPE,20,0.0286
PyAF-2.0,SMAPE,30,0.0402
PyAF-2.0,SMAPE,40,0.058
PyAF-2.0,SMAPE,50,0.0794
PyAF-2.0,SMAPE,60,0.1131
PyAF-2.0,SMAPE,70,0.1705
PyAF-2.0,SMAPE,80,0.2861
PyAF-2.0,SMAPE,90,0.6223
PyAF-2.0,SMAPE,100,2.0
PyAF-2.0,TrainingTime,0,3.05
PyAF-2.0,TrainingTime,10,4.65
PyAF-2.0,TrainingTime,20,4.82
PyAF-2.0,TrainingTime,30,5.02
PyAF-2.0,TrainingTime,40,5.47
PyAF-2.0,TrainingTime,50,5.93
PyAF-2.0,TrainingTime,60,6.644
PyAF-2.0,TrainingTime,70,7.283
PyAF-2.0,TrainingTime,80,8.12
PyAF-2.0,TrainingTime,90,8.691
PyAF-2.0,TrainingTime,100,12.55
PyAF-3.0,L1,0,0.0
PyAF-3.0,L1,10,0.6565
PyAF-3.0,L1,20,1.6122
PyAF-3.0,L1,30,3.012
PyAF-3.0,L1,40,5.2429
PyAF-3.0,L1,50,10.4768
PyAF-3.0,L1,60,27.9186
PyAF-3.0,L1,70,95.2062
PyAF-3.0,L1,80,348.2025
PyAF-3.0,L1,90,3964.9895
PyAF-3.0,L1,100,1235479895384.585
PyAF-3.0,L2,0,0.0
PyAF-3.0,L2,10,0.8122
PyAF-3.0,L2,20,1.9072
PyAF-3.0,L2,30,3.5956
PyAF-3.0,L2,40,6.1365
PyAF-3.0,L2,50,11.7086
PyAF-3.0,L2,60,33.7247
PyAF-3.0,L2,70,109.0745
PyAF-3.0,L2,80,398.9528
PyAF-3.0,L2,90,5211.1284
PyAF-3.0,L2,100,1426603645059.1946
PyAF-3.0,MAPE,0,0.0
PyAF-3.0,MAPE,10,0.0163
PyAF-3.0,MAPE,20,0.0285
PyAF-3.0,MAPE,30,0.0405
PyAF-3.0,MAPE,40,0.0571
PyAF-3.0,MAPE,50,0.0788
PyAF-3.0,MAPE,60,0.1133
PyAF-3.0,MAPE,70,0.1732
PyAF-3.0,MAPE,80,0.2822
PyAF-3.0,MAPE,90,0.7249
PyAF-3.0,MAPE,100,17515229478.2698
PyAF-3.0,SMAPE,0,0.0
PyAF-3.0,SMAPE,10,0.0163
PyAF-3.0,SMAPE,20,0.0286
PyAF-3.0,SMAPE,30,0.0402
PyAF-3.0,SMAPE,40,0.058
PyAF-3.0,SMAPE,50,0.0794
PyAF-3.0,SMAPE,60,0.1131
PyAF-3.0,SMAPE,70,0.1705
PyAF-3.0,SMAPE,80,0.2861
PyAF-3.0,SMAPE,90,0.6223
PyAF-3.0,SMAPE,100,2.0
PyAF-3.0,TrainingTime,0,3.05
PyAF-3.0,TrainingTime,10,4.65
PyAF-3.0,TrainingTime,20,4.82
PyAF-3.0,TrainingTime,30,5.02
PyAF-3.0,TrainingTime,40,5.47
PyAF-3.0,TrainingTime,50,5.93
PyAF-3.0,TrainingTime,60,6.644
PyAF-3.0,TrainingTime,70,7.283
PyAF-3.0,TrainingTime,80,8.12
PyAF-3.0,TrainingTime,90,8.691
PyAF-3.0,TrainingTime,100,12.55
PyAF-4.0,L1,0,0.0
PyAF-4.0,L1,10,0.6515
PyAF-4.0,L1,20,1.5873
PyAF-4.0,L1,30,2.93
PyAF-4.0,L1,40,5.1751
PyAF-4.0,L1,50,9.3431
PyAF-4.0,L1,60,27.0419
PyAF-4.0,L1,70,79.8647
PyAF-4.0,L1,80,284.7269
PyAF-4.0,L1,90,3840.3475
PyAF-4.0,L1,100,20605977.432
PyAF-4.0,L2,0,0.0
PyAF-4.0,L2,10,0.8099
PyAF-4.0,L2,20,1.9085
PyAF-4.0,L2,30,3.3807
PyAF-4.0,L2,40,6.072
PyAF-4.0,L2,50,11.0227
PyAF-4.0,L2,60,30.9993
PyAF-4.0,L2,70,94.0685
PyAF-4.0,L2,80,343.9529
PyAF-4.0,L2,90,4187.167
PyAF-4.0,L2,100,23290352.628
PyAF-4.0,MAPE,0,0.0
PyAF-4.0,MAPE,10,0.0161
PyAF-4.0,MAPE,20,0.0284
PyAF-4.0,MAPE,30,0.0397
PyAF-4.0,MAPE,40,0.0565
PyAF-4.0,MAPE,50,0.0725
PyAF-4.0,MAPE,60,0.0995
PyAF-4.0,MAPE,70,0.146
PyAF-4.0,MAPE,80,0.2438
PyAF-4.0,MAPE,90,0.5981
PyAF-4.0,MAPE,100,17361900749.3808
PyAF-4.0,SMAPE,0,0.0
PyAF-4.0,SMAPE,10,0.0162
PyAF-4.0,SMAPE,20,0.0287
PyAF-4.0,SMAPE,30,0.0396
PyAF-4.0,SMAPE,40,0.0565
PyAF-4.0,SMAPE,50,0.073
PyAF-4.0,SMAPE,60,0.1
PyAF-4.0,SMAPE,70,0.1473
PyAF-4.0,SMAPE,80,0.2475
PyAF-4.0,SMAPE,90,0.5371
PyAF-4.0,SMAPE,100,2.0
PyAF-4.0,TrainingTime,0,1.23
PyAF-4.0,TrainingTime,10,2.12
PyAF-4.0,TrainingTime,20,2.16
PyAF-4.0,TrainingTime,30,2.25
PyAF-4.0,TrainingTime,40,2.54
PyAF-4.0,TrainingTime,50,2.64
PyAF-4.0,TrainingTime,60,2.77
PyAF-4.0,TrainingTime,70,3.16
PyAF-4.0,TrainingTime,80,3.44
PyAF-4.0,TrainingTime,90,3.75
PyAF-4.0,TrainingTime,100,8.79
