Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
I&T0001,I&T0001,261,26,10.62,Lag1Trend+NoCycle+NoAR,26,0.1533,0.1753,4.7476,24.3076923077,31.9903831703,-1.36609390391
I&T0002,I&T0002,261,26,10.4,Lag1Trend+NoCycle+NoAR,26,0.117,0.1287,4.8918,15.6538461538,20.0086519747,-1.4286701426
I&T0003,I&T0003,155,26,9.84,Lag1Trend+NoCycle+NoAR,26,0.378,0.5215,10.9748,127.307692308,162.64047183,-1.58201692321
I&T0004,I&T0004,261,26,10.42,Lag1Trend+NoCycle+NoAR,26,0.0987,0.1057,2.7244,23.5384615385,29.6907133888,-0.581125827815
I&T0005,I&T0005,226,26,9.92,Lag1Trend+NoCycle+NoAR,26,0.2287,0.2796,6.53,47.5384615385,62.7326439375,-1.34881125599
I&T0006,I&T0006,245,26,10.53,Lag1Trend+NoCycle+NoAR,26,0.2444,0.2939,7.1103,43.2307692308,52.5064098651,-1.93024074866
I&T0007,I&T0007,260,26,9.85,Lag1Trend+NoCycle+NoAR,26,0.264,0.3246,2.8755,48.7692307692,63.3961901306,-0.954893969745
I&T0008,I&T0008,261,26,10.66,Lag1Trend+NoCycle+NoAR,26,0.1362,0.1522,3.7133,18.2692307692,24.0088124846,-0.927369134355
I&T0009,I&T0009,261,26,10.22,ConstantTrend+NoCycle+NoAR,26,0.1295,0.1182,2.7537,10.7943944354,13.0266468276,-1.28821560356
I&T0010,I&T0010,256,26,11.57,Lag1Trend+NoCycle+NoAR,26,0.2066,0.2397,4.1592,28.6153846154,36.7067380107,-0.895607871866
I&T0011,I&T0011,261,26,10.82,Lag1Trend+NoCycle+NoAR,26,0.1848,0.172,5.5507,19.5384615385,20.3960780544,-0.158220757825
I&T0012,I&T0012,164,26,9.67,Lag1Trend+NoCycle+NoAR,26,0.1259,0.1387,2.4442,25.6153846154,34.6876169437,-0.527527587683
I&T0013,I&T0013,95,26,9.2,Lag1Trend+NoCycle+NoAR,26,0.7525,1.3531,6.9038,399.038461538,490.638320495,-1.95390054025
I&T0014,I&T0014,154,26,9.79,PolyTrend+NoCycle+NoAR,26,0.7493,0.5348,5.1185,12.0797367621,12.4878485808,-5.16309505008
I&T0015,I&T0015,261,26,10.72,Lag1Trend+NoCycle+NoAR,26,0.4032,0.5399,3.24,47.6923076923,60.202223317,-1.25641365693
I&T0016,I&T0016,261,26,10.67,LinearTrend+NoCycle+NoAR,26,0.0629,0.0645,2.3969,8.8205835378,10.6979686838,0.212809627934
I&T0017,I&T0017,261,26,12.12,ConstantTrend+NoCycle+AR(65),26,0.0576,0.0551,1.563,5.00144476443,6.3521595053,-0.304037526289
I&T0018,I&T0018,142,26,9.73,ConstantTrend+NoCycle+AR(35),26,0.0434,0.0448,1.4782,11.8256912603,15.9793360366,0.172264756515
I&T0019,I&T0019,261,26,10.96,Lag1Trend+NoCycle+NoAR,26,0.0878,0.1067,0.6591,11.2307692308,36.9198716557,-0.0690749781878
I&T0020,I&T0020,261,26,9.53,Lag1Trend+NoCycle+NoAR,26,0.1936,0.2088,4.1644,23.6538461538,27.0917245383,-0.426015928354
I&T0021,I&T0021,261,26,11.07,Lag1Trend+NoCycle+NoAR,26,0.0735,0.0694,1.8692,9.34615384615,11.6931932863,-1.42337641908
I&T0022,I&T0022,127,26,10.76,ConstantTrend+NoCycle+AR(31),26,0.3401,0.3948,2.6133,77.3534336514,93.6298793138,-0.814565879854
I&T0023,I&T0023,261,26,10.4,Lag1Trend+NoCycle+NoAR,26,0.1541,0.1789,5.8802,24.4615384615,33.6863359653,-1.11551868685
I&T0024,I&T0024,261,26,10.66,Lag1Trend+NoCycle+NoAR,26,0.2142,0.2421,1.3297,26.8076923077,32.1744045429,-0.907507203001
I&T0025,I&T0025,173,26,10.3,Lag1Trend+NoCycle+NoAR,26,0.1384,0.1265,5.1799,25.6923076923,29.404342955,-3.22751996297
I&T0026,I&T0026,261,26,9.78,Lag1Trend+NoCycle+NoAR,26,0.0827,0.0869,2.7564,13.2307692308,16.2291286083,-0.455211193932
I&T0027,I&T0027,155,26,9.25,ConstantTrend+NoCycle+NoAR,26,0.0669,0.0679,0.6349,9.39581777446,13.1721001953,-0.024786418088
I&T0028,I&T0028,236,26,10.81,LinearTrend+NoCycle+NoAR,26,0.1605,0.1501,3.6115,23.1134293973,25.8952186232,0.171115881108
I&T0029,I&T0029,261,26,10.11,Lag1Trend+NoCycle+NoAR,26,0.1259,0.1362,3.7901,31.2307692308,35.1611673911,-2.78014184397
I&T0030,I&T0030,192,26,10.25,Lag1Trend+NoCycle+NoAR,26,0.1922,0.2252,6.7004,50.9230769231,64.7789139482,-1.13491480523
I&T0031,I&T0031,261,26,10.97,Lag1Trend+NoCycle+NoAR,26,0.1421,0.1625,3.7641,24.6923076923,35.667265751,-0.423942775772
I&T0032,I&T0032,92,26,8.64,Lag1Trend+NoCycle+NoAR,26,0.1183,0.1277,1.9657,42.6153846154,48.970949002,-3.11995283211
I&T0033,I&T0033,92,26,9.06,Lag1Trend+NoCycle+NoAR,26,0.1181,0.1276,1.8856,42.5384615385,48.7868204145,-3.17107541711
I&T0034,I&T0034,261,26,10.06,Lag1Trend+NoCycle+NoAR,26,0.197,0.2008,1.8926,33.4615384615,44.4366446147,-0.0559741283016
I&T0035,I&T0035,113,26,9.99,ConstantTrend+NoCycle+AR(28),26,0.4943,0.6776,7.3406,156.207189646,170.348979578,-5.35703520162
I&T0036,I&T0036,261,26,11.16,Lag1Trend+NoCycle+NoAR,26,0.1771,0.2034,4.5302,27.0,33.9490568579,-1.72121322194
I&T0037,I&T0037,261,26,11.27,Lag1Trend+NoCycle+NoAR,26,0.1735,0.1605,2.9947,19.8846153846,22.1732687296,-0.0580168272674
I&T0038,I&T0038,261,26,9.98,Lag1Trend+NoCycle+NoAR,26,0.1468,0.1631,4.4303,18.9615384615,22.626567094,-1.78551249547
I&T0039,I&T0039,261,26,11.36,ConstantTrend+NoCycle+NoAR,26,0.3801,0.3174,7.6238,29.2753682488,29.6506507758,-38.7560303568
I&T0040,I&T0040,261,26,10.85,Lag1Trend+NoCycle+NoAR,26,0.1972,0.2129,2.4536,11.3846153846,13.0325037443,-0.534644995723
I&T0041,I&T0041,261,26,9.43,ConstantTrend+NoCycle+NoAR,26,0.3266,0.2773,3.4154,25.410801964,26.3281472154,-4.43853090758
I&T0042,I&T0042,256,26,10.7,Lag1Trend+NoCycle+NoAR,26,0.0502,0.0513,1.3462,4.84615384615,6.08908228528,-0.181149858624
I&T0043,I&T0043,186,26,9.83,Lag1Trend+NoCycle+NoAR,26,0.1585,0.1696,3.2935,22.9230769231,25.988162986,-0.339042702956
I&T0044,I&T0044,205,26,10.2,LinearTrend+NoCycle+NoAR,26,0.1706,0.1975,2.7365,34.1510290808,46.5966319381,-0.477478266071
I&T0045,I&T0045,67,26,8.34,ConstantTrend+NoCycle+AR(16),26,0.133,0.1212,4.0158,45.2978480854,54.6027698704,-0.622253784488
I&T0046,I&T0046,261,26,10.17,Lag1Trend+NoCycle+NoAR,26,0.4196,0.3444,4.2954,41.9230769231,43.2079052596,-2.23862411595
