Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_FTSEMIB.MI,FTSEMIB.MI,1269,7,12.43,Lag1Trend+NoCycle+NoAR,7,0.0033,0.0033,0.7944,55.02857142857153,64.73080520785433,-0.021010620284233283
Yahoo_Stock_Price_^AEX,^AEX,1272,7,12.08,Lag1Trend+NoCycle+NoAR,7,0.0088,0.0089,2.7423,3.9899948571428387,4.290141081936755,-4.200974336472016
Yahoo_Stock_Price_^AMX,^AMX,1172,7,11.77,Lag1Trend+NoCycle+NoAR,7,0.0085,0.0085,1.9785,5.338561714285755,6.283303667011507,-1.6920494947381601
Yahoo_Stock_Price_^ATXPRIME,^ATXPRIME,882,7,11.68,Lag1Trend+NoCycle+NoAR,7,0.0052,0.0053,1.2961,5.985717857142845,7.725539810131863,-0.5830730249111937
Yahoo_Stock_Price_^ATX,^ATX,1235,7,12.08,Lag1Trend+NoCycle+NoAR,7,0.0042,0.0042,0.9127,9.28996928571431,11.847825857920206,-0.36416371113199153
Yahoo_Stock_Price_^BFX,^BFX,1273,7,12.36,Lag1Trend+NoCycle+NoAR,7,0.0083,0.0083,3.1186,28.514299428571444,32.12875019038237,-3.0461541963483887
Yahoo_Stock_Price_^FCHI,^FCHI,1272,7,12.45,Lag1Trend+NoCycle+NoAR,7,0.0081,0.0081,1.7164,35.429827428570725,42.05863955895414,-0.750697566088876
Yahoo_Stock_Price_^FTMC,^FTMC,1253,7,12.26,Lag1Trend+NoCycle+NoAR,7,0.0109,0.011,2.1109,186.88571428571387,213.4884473287889,-3.2791396380886084
Yahoo_Stock_Price_^GDAXI,^GDAXI,1265,7,13.43,Lag1Trend+NoCycle+NoAR,7,0.0128,0.0129,2.2026,130.619977714286,144.81396468466153,-1.2134643833065049
Yahoo_Stock_Price_^IBEX,^IBEX,1273,7,11.74,Lag1Trend+NoCycle+NoAR,7,0.0075,0.0075,1.506,64.15694728571465,71.74848796324157,-1.1967297726999964
Yahoo_Stock_Price_^ISEQ,^ISEQ,1265,7,12.09,Lag1Trend+NoCycle+NoAR,7,0.0032,0.0032,0.4597,18.92850157142857,26.522108769712187,-0.026448094172367043
Yahoo_Stock_Price_^OMXSPI,^OMXSPI,844,7,10.39,Lag1Trend+NoCycle+NoAR,7,0.0099,0.01,1.9936,4.904274857142882,5.31089368241715,-5.790506935971757
Yahoo_Stock_Price_^OSEAX,^OSEAX,845,7,10.25,Lag1Trend+NoCycle+NoAR,7,0.0066,0.0066,1.0226,4.564296142857107,5.843383940133085,-0.4760919401090207
Yahoo_Stock_Price_^PSI20,^PSI20,823,7,10.31,Lag1Trend+NoCycle+NoAR,7,0.0147,0.0148,3.5156,68.33698357142917,77.9237098803291,-3.330532322180982
Yahoo_Stock_Price_^SDAXI,^SDAXI,854,7,10.19,Lag1Trend+NoCycle+NoAR,7,0.0144,0.0145,2.7081,131.93610442857192,142.9883374917704,-5.7288035139406475
Yahoo_Stock_Price_^SMSI,^SMSI,1264,7,11.37,Lag1Trend+NoCycle+NoAR,7,0.0082,0.0083,1.5596,7.101414285714246,8.01855192256052,-1.3721683940500697
Yahoo_Stock_Price_^SSHI,^SSHI,845,7,10.2,Lag1Trend+NoCycle+NoAR,7,0.0055,0.0055,1.7279,48.94447514285691,51.97038090736249,-0.8850207254030638
Yahoo_Stock_Price_^STOXX50E,^STOXX50E,1233,7,11.16,Lag1Trend+NoCycle+NoAR,7,0.0088,0.0088,2.2854,26.04571428571418,28.135008187563777,-1.2267571557547798
