Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ADS.DE,ADS.DE,1298,7,31.56,Lag1Trend+NoCycle+NoAR,7,0.0468,0.0481,3.7418,6.48571428571,6.91344445886,-7.33952925255
Yahoo_Stock_Price_ALV.DE,ALV.DE,1298,7,32.61,Lag1Trend+NoCycle+NoAR,7,0.0104,0.0104,1.3143,1.31428571429,1.40458433099,-0.455435109891
Yahoo_Stock_Price_BAS.DE,BAS.DE,1298,7,31.57,Lag1Trend+NoCycle+NoAR,7,0.0046,0.0046,0.6857,0.325714285714,0.463988916124,-0.0872343494774
Yahoo_Stock_Price_BEI.DE,BEI.DE,1298,7,46.13,Lag1Trend+NoCycle+NoAR,7,0.0044,0.0044,1.0105,0.367142857143,0.479508677115,-0.161016075761
Yahoo_Stock_Price_BMW.DE,BMW.DE,1298,7,45.39,Lag1Trend+NoCycle+NoAR,7,0.0187,0.0189,1.4963,1.43142857143,1.70732037332,-0.610963359961
Yahoo_Stock_Price_CBK.DE,CBK.DE,1298,7,47.03,Lag1Trend+NoCycle+NoAR,7,0.0277,0.0271,1.8718,0.157857142857,0.201915470291,-1.57207176818
Yahoo_Stock_Price_DAI.DE,DAI.DE,1298,7,31.08,Lag1Trend+NoCycle+NoAR,7,0.0261,0.0266,2.2254,1.58,1.89069903928,-1.19213864497
Yahoo_Stock_Price_DB1.DE,DB1.DE,1298,7,45.63,Lag1Trend+NoCycle+NoAR,7,0.0333,0.0327,4.0661,2.46,2.56539053,-11.4261207312
Yahoo_Stock_Price_DBK.DE,DBK.DE,1298,7,45.52,Lag1Trend+NoCycle+NoAR,7,0.0181,0.0178,1.0575,0.23,0.314744794579,-0.693672475642
Yahoo_Stock_Price_DPW.DE,DPW.DE,1298,7,45.97,Lag1Trend+NoCycle+NoAR,7,0.0144,0.0145,2.0642,0.375,0.431926746435,-1.61121584706
Yahoo_Stock_Price_DTE.DE,DTE.DE,1298,7,46.65,Lag1Trend+NoCycle+NoAR,7,0.006,0.0059,1.4323,0.0907142857143,0.109430343141,-2.19681284534
Yahoo_Stock_Price_EOAN.DE,EOAN.DE,1298,7,31.62,Lag1Trend+NoCycle+NoAR,7,0.0057,0.0057,0.8245,0.0541428571429,0.0756807203228,-0.00017462206213
Yahoo_Stock_Price_FME.DE,FME.DE,1298,7,32.27,Lag1Trend+NoCycle+NoAR,7,0.0164,0.0166,3.5862,1.33285714286,1.46621475722,-4.53387372979
Yahoo_Stock_Price_HEN3.DE,HEN3.DE,1284,7,46.36,Lag1Trend+NoCycle+NoAR,7,0.0067,0.0067,1.2314,0.728571428571,0.860232526704,-0.0100278551335
Yahoo_Stock_Price_HNR1.DE,HNR1.DE,1298,7,45.43,Lag1Trend+NoCycle+NoAR,7,0.0109,0.0108,1.1796,0.992857142857,1.05795625078,-0.491071671287
Yahoo_Stock_Price_LHA.DE,LHA.DE,1298,7,46.15,Lag1Trend+NoCycle+NoAR,7,0.0811,0.0774,4.8517,0.845,0.912091395796,-6.05692559294
Yahoo_Stock_Price_LIN.DE,LIN.DE,1298,7,46.39,Lag1Trend+NoCycle+NoAR,7,0.0078,0.0078,1.165,1.0,1.27082650271,-0.0857515263667
Yahoo_Stock_Price_MAN.DE,MAN.DE,1298,7,46.01,Lag1Trend+NoCycle+NoAR,7,0.0067,0.0067,1.9048,0.628571428571,0.719483942043,-3.22387264322
Yahoo_Stock_Price_MEO.DE,MEO.DE,1298,7,45.31,Lag1Trend+NoCycle+NoAR,7,0.007,0.007,0.879,0.200714285714,0.263662392356,-0.0340679687556
Yahoo_Stock_Price_MRK.DE,MRK.DE,1298,7,32.79,Lag1Trend+NoCycle+NoAR,7,0.0238,0.0241,2.7991,2.31857142857,2.49418466495,-3.04792947022
Yahoo_Stock_Price_MUV2.DE,MUV2.DE,1298,7,45.86,Lag1Trend+NoCycle+NoAR,7,0.0084,0.0083,1.084,1.22857142857,1.43178210633,-2.79199697989
Yahoo_Stock_Price_RWE.DE,RWE.DE,1298,7,31.74,Lag1Trend+NoCycle+NoAR,7,0.006,0.006,1.0654,0.095,0.117852813773,-0.00180319319752
Yahoo_Stock_Price_SAP.DE,SAP.DE,1298,7,45.51,Lag1Trend+NoCycle+NoAR,7,0.0588,0.0609,4.1145,4.53285714286,4.9394779944,-5.01192252993
Yahoo_Stock_Price_SDF.DE,SDF.DE,1298,7,45.85,Lag1Trend+NoCycle+NoAR,7,0.0358,0.0352,5.7065,0.694285714286,0.726876880909,-10.4071732247
Yahoo_Stock_Price_SIE.DE,SIE.DE,1298,7,44.81,Lag1Trend+NoCycle+NoAR,7,0.0146,0.0148,2.0438,1.4,1.54949761444,-2.11871928228
Yahoo_Stock_Price_SZG.DE,SZG.DE,1298,7,32.71,Lag1Trend+NoCycle+NoAR,7,0.015,0.015,1.544,0.401428571429,0.470584742634,-0.050171059628
Yahoo_Stock_Price_TKA.DE,TKA.DE,1298,7,32.87,Lag1Trend+NoCycle+NoAR,7,0.0085,0.0085,1.2252,0.166428571429,0.211550399264,-0.482808167531
Yahoo_Stock_Price_VOW.DE,VOW.DE,1298,7,45.98,Lag1Trend+NoCycle+NoAR,7,0.0308,0.0315,2.0936,4.1,4.84907944135,-2.38956798022
