Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_3IN.L,3IN.L,1291,7,47.66,PolyTrend+NoCycle+NoAR,7,0.0981,0.1054,3.9586,0.180427500787,0.217217870896,-2.1621698149
Yahoo_Stock_Price_888.L,888.L,1294,7,46.86,Lag1Trend+NoCycle+NoAR,7,0.0278,0.0284,1.9962,6.32142857143,7.7419312836,-2.00031924403
Yahoo_Stock_Price_ABR.L,ABR.L,617,7,25.69,Lag1Trend+NoCycle+NoAR,7,0.0735,0.0843,0.8571,0.0931285714286,0.174227603603,-0.399999999078
Yahoo_Stock_Price_ADN.L,ADN.L,1294,7,45.9,Lag1Trend+NoCycle+NoAR,7,0.0099,0.0099,1.2828,3.14285714286,3.43636020064,-0.010054812693
Yahoo_Stock_Price_AGK.L,AGK.L,1294,7,38.61,Lag1Trend+NoCycle+NoAR,7,0.0139,0.014,1.3345,17.5714285714,19.5045782171,-1.32084163347
Yahoo_Stock_Price_AGS.L,AGS.L,426,7,21.7,Lag1Trend+NoCycle+NoAR,7,0.0016,0.0016,1.0612,0.371428571429,0.504267502706,-0.186666666588
Yahoo_Stock_Price_AHT.L,AHT.L,1294,7,47.39,Lag1Trend+NoCycle+NoAR,7,0.0428,0.0441,2.2943,50.8571428571,59.5506986885,-2.6946759653
Yahoo_Stock_Price_AQP.L,AQP.L,1218,7,41.12,Lag1Trend+NoCycle+NoAR,7,0.0,0.0,0.0,0.0,0.0,1.0
Yahoo_Stock_Price_ARI.L,ARI.L,538,7,21.77,Lag1Trend+NoCycle+NoAR,7,0.0,0.0,0.0,0.0,0.0,1.0
Yahoo_Stock_Price_ARM.L,ARM.L,1294,7,48.61,Lag1Trend+NoCycle+NoAR,7,0.0023,0.0023,0.8265,3.85714285714,5.69460897943,-0.0056962025312
Yahoo_Stock_Price_ASHM.L,ASHM.L,1294,7,47.16,Lag1Trend+NoCycle+NoAR,7,0.0477,0.0464,3.1655,15.9857142857,17.514361454,-4.99012067206
Yahoo_Stock_Price_ASL.L,ASL.L,1292,7,47.13,Lag1Trend+NoCycle+NoAR,7,0.0828,0.0778,2.4901,0.819042857143,1.02531571932,-0.997203832828
Yahoo_Stock_Price_ATK.L,ATK.L,1294,7,48.7,Lag1Trend+NoCycle+NoAR,7,0.0174,0.0176,1.1039,24.2857142857,30.5567387938,-1.71492997864
Yahoo_Stock_Price_AVV.L,AVV.L,1294,7,38.49,Lag1Trend+NoCycle+NoAR,7,0.0076,0.0075,1.4237,14.0,18.8830990193,-0.677419354839
Yahoo_Stock_Price_BAB.L,BAB.L,1032,7,42.48,Lag1Trend+NoCycle+NoAR,7,0.0056,0.0056,0.9048,5.42857142857,6.2564252687,-0.067334446299
Yahoo_Stock_Price_BAG.L,BAG.L,1294,7,46.06,Lag1Trend+NoCycle+NoAR,7,0.0182,0.0185,1.8639,9.78571428571,11.1018016556,-2.4529731275
Yahoo_Stock_Price_BBA.L,BBA.L,1294,7,46.57,Lag1Trend+NoCycle+NoAR,7,0.0374,0.0382,3.2751,8.84285714286,9.42693708779,-7.32789550182
Yahoo_Stock_Price_BDEV.L,BDEV.L,1294,7,46.41,Lag1Trend+NoCycle+NoAR,7,0.0155,0.0155,0.5914,6.48571428571,8.15667999688,-0.00444910032022
Yahoo_Stock_Price_BEE.L,BEE.L,1292,7,48.21,Lag1Trend+NoCycle+NoAR,7,0.0779,0.0738,2.9105,0.45553,0.548469597608,-0.890855939838
Yahoo_Stock_Price_BEZ.L,BEZ.L,1293,7,48.13,Lag1Trend+NoCycle+NoAR,7,0.0238,0.0242,1.6449,9.48571428571,11.3658636778,-2.29513794898
