Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ABX.TO,ABX.TO,1248,7,46.81,Lag1Trend+NoCycle+NoAR,7,0.0392,0.0382,1.0502,1.04142828571,1.224831915,-1.40167431214
Yahoo_Stock_Price_ACM-A.TO,ACM-A.TO,498,7,23.54,Lag1Trend+NoCycle+NoAR,7,0.0346,0.0352,207.6,1.73,1.73007431715,-11639.0549089
Yahoo_Stock_Price_ACO-X.TO,ACO-X.TO,1295,7,47.2,Lag1Trend+NoCycle+NoAR,7,0.0232,0.0235,3.1496,1.11285714286,1.19472052919,-6.55590726359
Yahoo_Stock_Price_AEM.TO,AEM.TO,1248,7,45.28,Lag1Trend+NoCycle+NoAR,7,0.036,0.035,1.0555,2.47857257143,3.00424854593,-2.13147907479
Yahoo_Stock_Price_AGF-B.TO,AGF-B.TO,1295,7,47.11,Lag1Trend+NoCycle+NoAR,7,0.0064,0.0064,1.5165,0.0328571428571,0.0368394198807,-3.88970563068
Yahoo_Stock_Price_AGI.TO,AGI.TO,1248,7,46.86,Lag1Trend+NoCycle+NoAR,7,0.0573,0.0553,1.4141,0.652857142857,0.737088868455,-3.64051387476
Yahoo_Stock_Price_AGU.TO,AGU.TO,1248,7,46.57,Lag1Trend+NoCycle+NoAR,7,0.0232,0.0229,3.863,2.83285542857,2.88876715573,-25.0857279183
Yahoo_Stock_Price_ARE.TO,ARE.TO,1248,7,46.62,Lag1Trend+NoCycle+NoAR,7,0.0383,0.0374,3.7222,0.669999285714,0.779220498778,-2.83600785453
Yahoo_Stock_Price_ARZ.TO,ARZ.TO,111,7,10.2,ConstantTrend+NoCycle+AR(27),7,0.0185,0.0183,2.6957,0.0853630601121,0.105985009125,-9.31693118241
Yahoo_Stock_Price_ATD-B.TO,ATD-B.TO,1295,7,44.19,Lag1Trend+NoCycle+NoAR,7,0.0174,0.0175,2.6184,1.03428571429,1.09462322285,-8.32792094205
Yahoo_Stock_Price_BAM-A.TO,BAM-A.TO,1295,7,47.82,Lag1Trend+NoCycle+NoAR,7,0.005,0.005,0.6635,0.23,0.284479474529,-2.52179603526e-05
Yahoo_Stock_Price_BBD-B.TO,BBD-B.TO,1248,7,45.58,Lag1Trend+NoCycle+NoAR,7,0.0367,0.036,14.5714,0.0728571428571,0.0731925054711,-108.374968099
Yahoo_Stock_Price_BCE.TO,BCE.TO,1248,7,43.22,Lag1Trend+NoCycle+NoAR,7,0.0066,0.0066,1.9505,0.412859428571,0.492734759139,-2.35644940308
Yahoo_Stock_Price_BEI-UN.TO,BEI-UN.TO,1248,7,42.51,Lag1Trend+NoCycle+NoAR,7,0.0179,0.0176,2.3673,0.994283714286,1.27115063287,-1.50827643498
Yahoo_Stock_Price_BIR.TO,BIR.TO,1248,7,44.5,Lag1Trend+NoCycle+NoAR,7,0.0341,0.0335,2.4405,0.292857142857,0.307222581015,-9.94910036064
Yahoo_Stock_Price_BMO.TO,BMO.TO,1248,7,46.84,Lag1Trend+NoCycle+NoAR,7,0.0029,0.0029,0.6532,0.247142285714,0.379604504741,-0.00628336858213
Yahoo_Stock_Price_BNP-UN.TO,BNP-UN.TO,1248,7,46.24,Lag1Trend+NoCycle+NoAR,7,0.0384,0.0372,1.0071,0.134285714286,0.193095091304,-0.173711935744
