Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ABE.MC,ABE.MC,1298,7,16.39,Lag1Trend+NoCycle+NoAR,7,0.0191,0.0193,6.36,0.26500000000000007,0.2712602861775806,-20.91808501311437
Yahoo_Stock_Price_ABG.MC,ABG.MC,1298,7,14.6,Lag1Trend+NoCycle+NoAR,7,0.0391,0.04,1.3429,0.02014285714285716,0.02436918428788998,-0.3303007711799153
Yahoo_Stock_Price_ACS.MC,ACS.MC,1298,7,16.33,Lag1Trend+NoCycle+NoAR,7,0.0169,0.0167,1.2451,0.43785714285714455,0.5146600819958762,-1.113599537267317
Yahoo_Stock_Price_ACX.MC,ACX.MC,1298,7,13.72,Lag1Trend+NoCycle+NoAR,7,0.0165,0.0164,1.7615,0.18642857142857114,0.2007397035253077,-6.272651914950821
Yahoo_Stock_Price_ANA.MC,ANA.MC,1298,7,16.93,Lag1Trend+NoCycle+NoAR,7,0.0156,0.0157,1.9483,1.058571428571428,1.1853811924560667,-0.07196927233965966
Yahoo_Stock_Price_BBVA.MC,BBVA.MC,1298,7,17.11,Lag1Trend+NoCycle+NoAR,7,0.0076,0.0076,0.7324,0.039428571428571146,0.04462542516804235,-0.0014778859863440186
Yahoo_Stock_Price_BKT.MC,BKT.MC,1298,7,11.39,Lag1Trend+NoCycle+NoAR,7,0.0304,0.0309,3.2357,0.1892857142857148,0.19547707209359855,-15.0403072850712
Yahoo_Stock_Price_BME.MC,BME.MC,1298,7,15.92,Lag1Trend+NoCycle+NoAR,7,0.0329,0.0335,3.3423,0.8857142857142851,0.9155755410825317,-14.584637561546678
Yahoo_Stock_Price_BTO.MC,BTO.MC,455,7,13.86,Lag1Trend+NoCycle+NoAR,7,0.0216,0.0213,3.0144,0.07485714285714311,0.08139147024456227,-5.488446379189459
Yahoo_Stock_Price_ELE.MC,ELE.MC,1298,7,15.07,Lag1Trend+NoCycle+NoAR,7,0.0114,0.0115,3.3714,0.21071428571428694,0.2493634753871213,-2.496987257606021
Yahoo_Stock_Price_ENG.MC,ENG.MC,1298,7,11.78,Lag1Trend+NoCycle+NoAR,7,0.0078,0.0078,2.5714,0.21214285714285605,0.2361068160206902,-2.2482014361451377
Yahoo_Stock_Price_FCC.MC,FCC.MC,1298,7,15.22,Lag1Trend+NoCycle+NoAR,7,0.0497,0.0482,2.6772,0.35428571428571437,0.4001517569265798,-2.6768985624229313
Yahoo_Stock_Price_FER.MC,FER.MC,1298,7,14.64,Lag1Trend+NoCycle+NoAR,7,0.0102,0.0103,1.2785,0.1885714285714281,0.2595738265476148,-0.157362452172487
Yahoo_Stock_Price_GAM.MC,GAM.MC,1298,7,15.26,Lag1Trend+NoCycle+NoAR,7,0.0109,0.0109,1.1807,0.20071428571428537,0.23206372277581686,-1.42360855832426
Yahoo_Stock_Price_GAS.MC,GAS.MC,1298,7,16.59,Lag1Trend+NoCycle+NoAR,7,0.0169,0.0171,3.138,0.3085714285714291,0.34680171362239404,-3.8002769378836847
Yahoo_Stock_Price_GRF.MC,GRF.MC,1298,7,16.52,Lag1Trend+NoCycle+NoAR,7,0.0148,0.015,2.9378,0.30357142857142855,0.3891244751269922,-1.5550476085925462
Yahoo_Stock_Price_IDR.MC,IDR.MC,1298,7,16.35,Lag1Trend+NoCycle+NoAR,7,0.0607,0.0627,6.4852,0.6377142857142866,0.656002831004345,-17.1883348318181
Yahoo_Stock_Price_ITX.MC,ITX.MC,1298,7,13.38,Lag1Trend+NoCycle+NoAR,7,0.0044,0.0044,0.9939,0.13500000000000004,0.15832832072265904,-1.7596607460530769
Yahoo_Stock_Price_MAP.MC,MAP.MC,1298,7,12.63,Lag1Trend+NoCycle+NoAR,7,0.0184,0.0187,1.206,0.03999999999999985,0.058422109317816044,-0.34001024823722825
Yahoo_Stock_Price_OHL.MC,OHL.MC,1298,7,12.36,Lag1Trend+NoCycle+NoAR,7,0.0301,0.0307,0.7953,0.10471428571428566,0.13745077040786005,-0.11171248756698104
Yahoo_Stock_Price_POP.MC,POP.MC,1298,7,11.51,Lag1Trend+NoCycle+NoAR,7,0.019,0.019,0.7157,0.023857142857142927,0.028911194075256504,-0.018121688558089266
Yahoo_Stock_Price_REP.MC,REP.MC,1297,7,11.37,Lag1Trend+NoCycle+NoAR,7,0.0208,0.0205,1.5799,0.24357142857142783,0.2876071229000713,-1.937189751761987
Yahoo_Stock_Price_SAB.MC,SAB.MC,1298,7,11.35,Lag1Trend+NoCycle+NoAR,7,0.0376,0.0367,1.7036,0.045428571428571436,0.05246767712465589,-0.4721803742330062
Yahoo_Stock_Price_SAN.MC,SAN.MC,1298,7,11.11,Lag1Trend+NoCycle+NoAR,7,0.0112,0.0113,0.7414,0.04300000000000021,0.04829226498252977,-0.054722825592951274
Yahoo_Stock_Price_TEF.MC,TEF.MC,1296,7,11.1,Lag1Trend+NoCycle+NoAR,7,0.0142,0.0143,1.2473,0.12742857142857109,0.16365992615350688,-0.43351275197755457
Yahoo_Stock_Price_TRE.MC,TRE.MC,1298,7,11.16,Lag1Trend+NoCycle+NoAR,7,0.014,0.0139,0.928,0.3835714285714299,0.47060371560672815,-1.7763514718593485
