Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_BMA.BA,BMA.BA,1280,7,31.68,Lag1Trend+NoCycle+NoAR,7,0.0307,0.0301,3.0621,3.52142857143,4.15163478988,-2.56440313152
Yahoo_Stock_Price_BPAT.BA,BPAT.BA,1274,7,30.4,Lag1Trend+NoCycle+NoAR,7,0.0747,0.0795,3.2688,3.21428571429,4.09660137884,-1.60167681721
Yahoo_Stock_Price_ERAR.BA,ERAR.BA,1279,7,30.67,Lag1Trend+NoCycle+NoAR,7,0.0776,0.081,4.2763,0.648571428571,0.678317245626,-10.6574974105
Yahoo_Stock_Price_FRAN.BA,FRAN.BA,1280,7,31.7,Lag1Trend+NoCycle+NoAR,7,0.0358,0.035,3.5578,3.73571428571,4.20259273714,-3.76543872689
Yahoo_Stock_Price_GGAL.BA,GGAL.BA,1280,7,31.47,Lag1Trend+NoCycle+NoAR,7,0.0414,0.0403,3.8,1.9,2.16035711334,-3.41486486481
Yahoo_Stock_Price_PAMP.BA,PAMP.BA,1279,7,31.13,Lag1Trend+NoCycle+NoAR,7,0.0556,0.0541,3.6286,0.907142857143,0.925627200489,-24.2906626399
Yahoo_Stock_Price_PETR3.SA,PETR3.SA,1286,7,31.69,Lag1Trend+NoCycle+NoAR,7,0.0067,0.0068,1.013,0.0928571428571,0.10467637201,-0.939667625153
Yahoo_Stock_Price_TECO2.BA,TECO2.BA,1279,7,31.63,Lag1Trend+NoCycle+NoAR,7,0.013,0.0129,2.2286,0.742857142857,0.824621125124,-4.30573248349
Yahoo_Stock_Price_TEN.MI,TEN.MI,1297,7,31.81,Lag1Trend+NoCycle+NoAR,7,0.0316,0.031,2.074,0.387142857143,0.421510887844,-5.39293581695
