Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ABB,ABB,1251,7,12.17,Lag1Trend+NoCycle+NoAR,7,0.0357,0.0365,4.3273,0.7428574285714288,0.8116651174331164,-5.159135628467325
Yahoo_Stock_Price_ABT,ABT,1251,7,11.93,Lag1Trend+NoCycle+NoAR,7,0.0241,0.0244,3.3415,1.0414282857142834,1.132978882669043,-2.518916550235453
Yahoo_Stock_Price_ABX,ABX,1251,7,11.34,Lag1Trend+NoCycle+NoAR,7,0.0509,0.0492,1.3593,1.028572428571429,1.1974266574622796,-2.8147046704199123
Yahoo_Stock_Price_ACL,ACL,1299,7,12.62,Lag1Trend+NoCycle+NoAR,7,0.1697,0.3126,0.8572,1341.9257142857143,3549.8045453839527,-0.1667097325115483
Yahoo_Stock_Price_ACN,ACN,1251,7,12.5,Lag1Trend+NoCycle+NoAR,7,0.0085,0.0085,0.7604,0.9657131428571465,1.0993488293425635,-0.3456022646597061
Yahoo_Stock_Price_ADM,ADM,1251,7,12.05,Lag1Trend+NoCycle+NoAR,7,0.0144,0.0143,4.4897,0.6285717142857153,0.6592641287301227,-9.995812600692846
Yahoo_Stock_Price_AMX,AMX,1251,7,12.49,Lag1Trend+NoCycle+NoAR,7,0.0256,0.0251,2.059,0.3157142857142861,0.39502260333157824,-1.7683200572274371
Yahoo_Stock_Price_APA,APA,1251,7,12.01,Lag1Trend+NoCycle+NoAR,7,0.057,0.0551,3.3383,3.010001714285714,3.2284356202797575,-6.64871346897122
Yahoo_Stock_Price_APC,APC,1251,7,11.34,Lag1Trend+NoCycle+NoAR,7,0.0161,0.016,1.2868,0.8728558571428563,0.9492770798291714,-5.471306200211118
Yahoo_Stock_Price_AXA,AXA,1230,7,12.28,Lag1Trend+NoCycle+NoAR,7,0.0303,0.0309,1.4571,0.024285714285714292,0.0280305955290694,-1.4062498947265691
Yahoo_Stock_Price_AXP,AXP,1251,7,11.96,Lag1Trend+NoCycle+NoAR,7,0.0063,0.0063,0.9588,0.4042852857142835,0.4287349697582058,-0.480712657450697
Yahoo_Stock_Price_AZN,AZN,1251,7,12.22,Lag1Trend+NoCycle+NoAR,7,0.0129,0.0131,1.3429,0.40285757142857087,0.5167765253418816,-0.6590797998724807
Yahoo_Stock_Price_BAC,BAC,1251,7,12.12,Lag1Trend+NoCycle+NoAR,7,0.0205,0.0207,2.7297,0.29571428571428626,0.32060211210426337,-5.701037779815426
Yahoo_Stock_Price_BAX,BAX,1251,7,12.38,Lag1Trend+NoCycle+NoAR,7,0.0146,0.0148,1.1079,0.6942858571428567,0.9155327223623094,-0.09636514303400556
Yahoo_Stock_Price_BA,BA,1251,7,11.99,Lag1Trend+NoCycle+NoAR,7,0.0075,0.0076,1.2522,1.0142930000000092,1.300886976573577,-0.8237752617637668
