Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ACA.PA,ACA.PA,1298,7,11.63,Lag1Trend+NoCycle+NoAR,7,0.0051,0.0051,0.6327,0.03985714285714297,0.044030833352484915,-0.0017821666464814534
Yahoo_Stock_Price_AGN.AS,AGN.AS,1298,7,11.34,Lag1Trend+NoCycle+NoAR,7,0.0141,0.0142,1.098,0.05014285714285714,0.06110997112933841,-0.6382298595609599
Yahoo_Stock_Price_AH.AS,AH.AS,1298,7,11.05,Lag1Trend+NoCycle+NoAR,7,0.0176,0.0178,2.1549,0.38428571428571295,0.4261119906449798,-4.35673429842271
Yahoo_Stock_Price_AI.PA,AI.PA,1298,7,10.9,Lag1Trend+NoCycle+NoAR,7,0.0058,0.0058,1.8579,0.5542857142857177,0.630011337766464,-0.12691790659686242
Yahoo_Stock_Price_ALU.PA,ALU.PA,1298,7,10.98,Lag1Trend+NoCycle+NoAR,7,0.0041,0.0041,2.8571,0.01428571428571417,0.01511857892036902,-8.333327888891546
Yahoo_Stock_Price_ALV.DE,ALV.DE,1298,7,11.42,Lag1Trend+NoCycle+NoAR,7,0.0104,0.0104,1.3143,1.3142857142857127,1.404584330988047,-0.4554351098913165
Yahoo_Stock_Price_BAS.DE,BAS.DE,1298,7,11.41,Lag1Trend+NoCycle+NoAR,7,0.0046,0.0046,0.6857,0.3257142857142859,0.4639889161237771,-0.08723434947735775
Yahoo_Stock_Price_BBVA.MC,BBVA.MC,1298,7,11.56,Lag1Trend+NoCycle+NoAR,7,0.0076,0.0076,0.7324,0.039428571428571146,0.04462542516804235,-0.0014778859863440186
Yahoo_Stock_Price_BN.PA,BN.PA,1298,7,11.15,Lag1Trend+NoCycle+NoAR,7,0.0053,0.0053,1.1684,0.34857142857143025,0.42223893032939913,-0.18207404188846232
Yahoo_Stock_Price_BNP.PA,BNP.PA,1298,7,11.13,Lag1Trend+NoCycle+NoAR,7,0.0136,0.0137,1.6482,0.5878571428571442,0.6691599210951015,-2.527629727485968
Yahoo_Stock_Price_CA.PA,CA.PA,1298,7,11.11,Lag1Trend+NoCycle+NoAR,7,0.0104,0.0105,1.3747,0.24285714285714274,0.3055673879382884,-0.7494646676259515
Yahoo_Stock_Price_CS.PA,CS.PA,1298,7,11.65,Lag1Trend+NoCycle+NoAR,7,0.0112,0.0111,1.1823,0.20000000000000132,0.23103803026465639,-2.2980896509568756
Yahoo_Stock_Price_DAI.DE,DAI.DE,1298,7,10.76,Lag1Trend+NoCycle+NoAR,7,0.0261,0.0266,2.2254,1.5799999999999994,1.890699039282258,-1.1921386449683258
Yahoo_Stock_Price_DBK.DE,DBK.DE,1298,7,10.69,Lag1Trend+NoCycle+NoAR,7,0.0181,0.0178,1.0575,0.22999999999999968,0.31474479457853693,-0.6936724756422306
Yahoo_Stock_Price_DTE.DE,DTE.DE,1298,7,10.63,Lag1Trend+NoCycle+NoAR,7,0.006,0.0059,1.4323,0.09071428571428493,0.1094303431411958,-2.1968128453403657
Yahoo_Stock_Price_ELE.MC,ELE.MC,1298,7,10.73,Lag1Trend+NoCycle+NoAR,7,0.0114,0.0115,3.3714,0.21071428571428694,0.2493634753871213,-2.496987257606021
Yahoo_Stock_Price_ENEL.MI,ENEL.MI,1297,7,10.75,Lag1Trend+NoCycle+NoAR,7,0.0067,0.0067,2.1776,0.02685714285714269,0.027192435923038653,-0.3411311467725755
Yahoo_Stock_Price_ENI.MI,ENI.MI,1297,7,10.74,Lag1Trend+NoCycle+NoAR,7,0.0245,0.0241,4.1486,0.3457142857142867,0.38777755037060785,-3.873792827482716
Yahoo_Stock_Price_FP.PA,FP.PA,1298,7,10.61,Lag1Trend+NoCycle+NoAR,7,0.0125,0.0123,1.7716,0.5300000000000001,0.7005711955254795,-0.9468622497439563
