Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_000001.SS,000001.SS,1191,7,32.72,Lag1Trend+NoCycle+NoAR,7,0.0068,0.0068,0.871,20.5442857143,25.9956202355,-1.06193717713
Yahoo_Stock_Price_^AORD,^AORD,1260,7,34.52,Lag1Trend+NoCycle+NoAR,7,0.0086,0.0086,2.6174,47.9429411429,54.0054753401,-2.87327073693
Yahoo_Stock_Price_^BSESN,^BSESN,1224,7,34.17,Lag1Trend+NoCycle+NoAR,7,0.0059,0.0059,1.1225,165.588448857,202.250722328,-1.43500293389
Yahoo_Stock_Price_^BVSP,^BVSP,1246,7,34.06,Lag1Trend+NoCycle+NoAR,7,0.0051,0.0051,2.0991,291.428571429,321.711494532,-4.57411168852
Yahoo_Stock_Price_^HSI,^HSI,1242,7,34.64,Lag1Trend+NoCycle+NoAR,7,0.0097,0.0098,2.0801,214.328961571,240.177769336,-1.19432191441
Yahoo_Stock_Price_^JKSE,^JKSE,1208,7,32.87,Lag1Trend+NoCycle+NoAR,7,0.0179,0.0181,2.9224,93.8468887143,98.4781297064,-9.88795758766
Yahoo_Stock_Price_^KS11,^KS11,1232,7,33.69,Lag1Trend+NoCycle+NoAR,7,0.0034,0.0034,1.6085,6.92715871429,7.33249255407,-0.430178002941
Yahoo_Stock_Price_^MERV,^MERV,1209,7,34.13,Lag1Trend+NoCycle+NoAR,7,0.013,0.0129,2.2025,205.043805286,218.697169275,-7.26696680988
Yahoo_Stock_Price_^MXX,^MXX,1250,7,34.18,Lag1Trend+NoCycle+NoAR,7,0.006,0.006,1.1419,282.214285714,348.981142416,-0.765626330462
Yahoo_Stock_Price_^N225,^N225,1235,7,33.68,Lag1Trend+NoCycle+NoAR,7,0.0108,0.0108,1.2247,179.356166429,190.89105508,-1.43554643208
Yahoo_Stock_Price_^NZ50,^NZ50,1172,7,33.09,Lag1Trend+NoCycle+NoAR,7,0.0188,0.019,4.6042,136.506906143,150.150009089,-4.76467923036
Yahoo_Stock_Price_^TA100,^TA100,1131,7,32.02,Lag1Trend+NoCycle+NoAR,7,0.0043,0.0043,2.3273,5.51573014286,6.47577819251,-2.64264750043
Yahoo_Stock_Price_^TWII,^TWII,1226,7,32.94,Lag1Trend+NoCycle+NoAR,7,0.0027,0.0027,0.6802,24.1099327143,30.8598244273,-0.635090079309
