Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_ALFAA.MX,ALFAA.MX,1296,7,44.71,Lag1Trend+NoCycle+NoAR,7,0.0202,0.02,2.6071,0.625714285714,0.752861208989,-2.23365312939
Yahoo_Stock_Price_AMXL.MX,AMXL.MX,1295,7,31.45,Lag1Trend+NoCycle+NoAR,7,0.0118,0.0118,1.0827,0.137142857143,0.172212493325,-0.00110223153708
Yahoo_Stock_Price_ARA.MX,ARA.MX,1295,7,45.71,Lag1Trend+NoCycle+NoAR,7,0.0044,0.0043,0.7792,0.0285714285714,0.0354562104171,-1.10958899052
Yahoo_Stock_Price_AUTLANB.MX,AUTLANB.MX,1296,7,39.35,Lag1Trend+NoCycle+NoAR,7,0.0124,0.0124,0.6703,0.0871428571429,0.100782651568,-0.280092590288
Yahoo_Stock_Price_AXTELCPO.MX,AXTELCPO.MX,1294,7,44.68,Lag1Trend+NoCycle+NoAR,7,0.1003,0.0952,4.0099,0.581428571429,0.594870934381,-21.3795818073
Yahoo_Stock_Price_BIMBOA.MX,BIMBOA.MX,1296,7,46.06,Lag1Trend+NoCycle+NoAR,7,0.0159,0.0156,1.9486,0.902857142857,1.3848465619,-0.582082164641
Yahoo_Stock_Price_BOLSAA.MX,BOLSAA.MX,1296,7,46.74,Lag1Trend+NoCycle+NoAR,7,0.0878,0.0932,3.9346,2.86571428571,3.31334530993,-2.96908899069
Yahoo_Stock_Price_CEMEXCPO.MX,CEMEXCPO.MX,1295,7,35.13,Lag1Trend+NoCycle+NoAR,7,0.0203,0.0202,1.2093,0.26,0.294278779391,-0.32482048051
Yahoo_Stock_Price_COMERCIUBC.MX,COMERCIUBC.MX,1285,7,45.87,Lag1Trend+NoCycle+NoAR,7,0.0124,0.0122,0.7955,0.387142857143,0.530781095583,-0.815309154818
Yahoo_Stock_Price_ELEKTRA.MX,ELEKTRA.MX,1295,7,46.13,Lag1Trend+NoCycle+NoAR,7,0.057,0.0595,1.9713,15.79,19.4305521574,-1.73312887405
Yahoo_Stock_Price_FEMSAUBD.MX,FEMSAUBD.MX,892,7,33.81,Lag1Trend+NoCycle+NoAR,7,0.0072,0.0072,0.7463,0.904285714286,1.21748569953,-0.207093521053
Yahoo_Stock_Price_GAPB.MX,GAPB.MX,1296,7,31.63,Lag1Trend+NoCycle+NoAR,7,0.0143,0.0144,1.298,2.79714285714,3.5671357057,-0.537070235536
Yahoo_Stock_Price_GCARSOA1.MX,GCARSOA1.MX,1296,7,46.03,Lag1Trend+NoCycle+NoAR,7,0.0165,0.0163,1.2393,1.27857142857,1.75596534297,-0.34869511036
Yahoo_Stock_Price_GEOB.MX,GEOB.MX,1296,7,31.09,Lag1Trend+NoCycle+NoAR,7,0.0,0.0,0.0,0.0,0.0,1.0
Yahoo_Stock_Price_GFINBURO.MX,GFINBURO.MX,1296,7,44.95,Lag1Trend+NoCycle+NoAR,7,0.0105,0.0104,1.0366,0.33,0.366703461357,-0.324122824459
Yahoo_Stock_Price_GFNORTEO.MX,GFNORTEO.MX,1296,7,45.01,Lag1Trend+NoCycle+NoAR,7,0.0163,0.0164,1.1538,1.66142857143,1.94382171434,-0.364131155554
Yahoo_Stock_Price_GMEXICOB.MX,GMEXICOB.MX,1295,7,46.39,Lag1Trend+NoCycle+NoAR,7,0.0132,0.0131,0.8051,0.574285714286,0.766028720088,-0.313603303931
Yahoo_Stock_Price_GMODELOC.MX,GMODELOC.MX,1082,7,39.03,Lag1Trend+NoCycle+NoAR,7,0.0,0.0,0.0,0.0,0.0,1.0
Yahoo_Stock_Price_HOMEX.MX,HOMEX.MX,1295,7,46.43,Lag1Trend+NoCycle+NoAR,7,0.0225,0.0229,1.0612,0.0371428571429,0.0484030695603,-1.43220335376
Yahoo_Stock_Price_ICA.MX,ICA.MX,1295,7,46.15,Lag1Trend+NoCycle+NoAR,7,0.0254,0.0247,1.2995,0.0671428571429,0.0947930075782,-0.52775849733
Yahoo_Stock_Price_KIMBERA.MX,KIMBERA.MX,1295,7,44.48,Lag1Trend+NoCycle+NoAR,7,0.025,0.0245,1.563,1.06285714286,1.38468150025,-1.27800165846
Yahoo_Stock_Price_MEXCHEM.MX,MEXCHEM.MX,1295,7,31.79,Lag1Trend+NoCycle+NoAR,7,0.0086,0.0086,0.7904,0.338571428571,0.436528513224,-0.0202023512178
Yahoo_Stock_Price_OMAB.MX,OMAB.MX,1295,7,46.23,Lag1Trend+NoCycle+NoAR,7,0.0419,0.0428,4.839,4.82285714286,4.92168960535,-24.1516905834
Yahoo_Stock_Price_SORIANAB.MX,SORIANAB.MX,1295,7,31.49,Lag1Trend+NoCycle+NoAR,7,0.0071,0.0071,1.015,0.321428571429,0.352724092903,-0.0283559932661
Yahoo_Stock_Price_TELMEXL.MX,TELMEXL.MX,360,7,18.15,PolyTrend+NoCycle+NoAR,7,0.0495,0.0483,4748202087.21,0.474820208721,0.474822066221,-15781919619.0
Yahoo_Stock_Price_TLEVISACPO.MX,TLEVISACPO.MX,1294,7,34.01,Lag1Trend+NoCycle+NoAR,7,0.007,0.007,0.6824,0.697142857143,0.927438869761,-0.253606419847
