Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_AAL.L,AAL.L,1294,7,48.08,Lag1Trend+NoCycle+NoAR,7,0.0576,0.0558,3.0731,45.0714285714,47.0756078786,-10.999797774
Yahoo_Stock_Price_ABF.L,ABF.L,1294,7,46.13,Lag1Trend+NoCycle+NoAR,7,0.0215,0.0212,3.2026,58.7142857143,70.8690946141,-2.1887195833
Yahoo_Stock_Price_ADM.L,ADM.L,1294,7,45.6,Lag1Trend+NoCycle+NoAR,7,0.0334,0.0341,3.7043,71.0,78.1344994225,-4.73778195489
Yahoo_Stock_Price_AML.L,AML.L,1169,7,41.64,Lag1Trend+NoCycle+NoAR,7,0.0011,0.0011,2.1429,0.714285714286,0.801783725737,-3.84615384563
Yahoo_Stock_Price_ANTO.L,ANTO.L,1294,7,46.72,Lag1Trend+NoCycle+NoAR,7,0.0271,0.0267,2.4005,13.2428571429,13.7848260262,-11.9723723807
Yahoo_Stock_Price_ATST.L,ATST.L,1277,7,44.96,Lag1Trend+NoCycle+NoAR,7,0.0721,0.0691,2.9127,0.406648571429,0.452975784121,-1.52672840937
Yahoo_Stock_Price_AV.L,AV.L,1294,7,42.92,Lag1Trend+NoCycle+NoAR,7,0.0135,0.0134,1.0981,5.14285714286,5.51802242009,-0.534737794967
Yahoo_Stock_Price_AZN.L,AZN.L,1294,7,44.99,Lag1Trend+NoCycle+NoAR,7,0.0169,0.0171,1.5803,78.3571428571,96.4159515552,-1.80685189807
Yahoo_Stock_Price_BA.L,BA.L,1293,7,47.02,Lag1Trend+NoCycle+NoAR,7,0.0066,0.0067,1.1905,3.57142857143,4.53557367611,-0.65789473684
Yahoo_Stock_Price_BARC.L,BARC.L,1294,7,38.7,Lag1Trend+NoCycle+NoAR,7,0.0053,0.0053,0.9237,0.792857142857,1.01224644091,-0.0731537885914
Yahoo_Stock_Price_BATS.L,BATS.L,1294,7,45.44,Lag1Trend+NoCycle+NoAR,7,0.0042,0.0042,0.8107,19.9285714286,23.0844722085,-0.235094482416
Yahoo_Stock_Price_BBY.L,BBY.L,1294,7,44.63,Lag1Trend+NoCycle+NoAR,7,0.0118,0.0119,0.6917,2.62857142857,3.06454377868,-0.609358606697
Yahoo_Stock_Price_BG.L,BG.L,1178,7,41.58,Lag1Trend+NoCycle+NoAR,7,0.0261,0.0266,1.9527,27.5,32.342475389,-2.60968696081
Yahoo_Stock_Price_BLND.L,BLND.L,1294,7,44.19,Lag1Trend+NoCycle+NoAR,7,0.0401,0.0409,4.4427,26.2857142857,27.2632667574,-13.1992202729
Yahoo_Stock_Price_BLT.L,BLT.L,1294,7,46.0,Lag1Trend+NoCycle+NoAR,7,0.0402,0.0392,2.3371,37.4714285714,40.3257981942,-6.32304356936
Yahoo_Stock_Price_BNZL.L,BNZL.L,1294,7,45.37,Lag1Trend+NoCycle+NoAR,7,0.0044,0.0044,2.2041,10.2857142857,11.2376916796,-5.16334661354
Yahoo_Stock_Price_BP.L,BP.L,1294,7,45.23,Lag1Trend+NoCycle+NoAR,7,0.0158,0.0156,1.9512,6.94285714286,8.90188583552,-0.281371945635
Yahoo_Stock_Price_BT-A.L,BT-A.L,1294,7,47.52,Lag1Trend+NoCycle+NoAR,7,0.0169,0.0168,1.4891,6.61428571429,7.07424907676,-0.266036454878
Yahoo_Stock_Price_CCL.L,CCL.L,1294,7,45.8,Lag1Trend+NoCycle+NoAR,7,0.0204,0.0207,3.0629,73.0,78.3280646658,-6.60931963147
Yahoo_Stock_Price_CNA.L,CNA.L,1294,7,47.03,Lag1Trend+NoCycle+NoAR,7,0.0176,0.0178,3.0941,4.22857142857,4.5987575962,-5.47189607791
Yahoo_Stock_Price_CNE.L,CNE.L,1294,7,46.43,Lag1Trend+NoCycle+NoAR,7,0.0863,0.0819,3.6629,15.6285714286,17.2063111345,-4.71484848962
Yahoo_Stock_Price_COB.L,COB.L,1295,7,45.62,Lag1Trend+NoCycle+NoAR,7,0.0225,0.0228,1.6526,3.82857142857,4.47628672642,-1.75158343142
Yahoo_Stock_Price_CPG.L,CPG.L,1295,7,45.15,Lag1Trend+NoCycle+NoAR,7,0.0081,0.0081,1.395,11.8571428571,13.7788658045,-2.85376967688
Yahoo_Stock_Price_CPI.L,CPI.L,1294,7,47.43,Lag1Trend+NoCycle+NoAR,7,0.0067,0.0068,1.0489,6.64285714286,8.17006731918,-1.00597976081
Yahoo_Stock_Price_DGE.L,DGE.L,1294,7,45.77,Lag1Trend+NoCycle+NoAR,7,0.0107,0.0108,1.3554,22.9285714286,28.8685444237,-0.961960699529
Yahoo_Stock_Price_DRX.L,DRX.L,1294,7,45.24,Lag1Trend+NoCycle+NoAR,7,0.0126,0.0125,1.5852,4.38571428571,6.13875278166,-0.266099393872
Yahoo_Stock_Price_EMG.L,EMG.L,1293,7,45.37,Lag1Trend+NoCycle+NoAR,7,0.0244,0.0237,0.898,2.82857142857,4.49507667184,-0.537104887286
Yahoo_Stock_Price_ENRC.L,ENRC.L,598,7,26.33,Lag1Trend+NoCycle+NoAR,7,0.0178,0.0179,1.0435,4.0,4.87889038907,-0.127885893871
Yahoo_Stock_Price_EXPN.L,EXPN.L,1295,7,45.8,Lag1Trend+NoCycle+NoAR,7,0.0056,0.0056,2.0714,8.28571428571,8.97615889852,-5.76027397259
