Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_AAC.AX,AAC.AX,1299,7,37.96,Lag1Trend+NoCycle+NoAR,7,0.0438,0.045,3.0238,0.0907142857143,0.0982525899331,-5.77686239622
Yahoo_Stock_Price_AAX.AX,AAX.AX,1299,7,46.63,Lag1Trend+NoCycle+NoAR,7,0.0299,0.0304,4.5714,0.0114285714286,0.0119522860933,-10.6666530556
Yahoo_Stock_Price_ABC.AX,ABC.AX,1299,7,47.4,Lag1Trend+NoCycle+NoAR,7,0.0138,0.0138,0.8421,0.08,0.0925820099773,-0.0086455314456
Yahoo_Stock_Price_ABP.AX,ABP.AX,1297,7,47.63,Lag1Trend+NoCycle+NoAR,7,0.0063,0.0063,1.0909,0.02,0.021380899353,-1.799999755
Yahoo_Stock_Price_ABY.AX,ABY.AX,1299,7,47.44,Lag1Trend+NoCycle+NoAR,7,0.0376,0.0369,3.1429,0.0157142857143,0.016475089421,-10.0833268681
Yahoo_Stock_Price_ACR.AX,ACR.AX,1299,7,47.6,Lag1Trend+NoCycle+NoAR,7,0.0567,0.0591,1.6875,0.045,0.0537520763719,-2.34297515136
Yahoo_Stock_Price_AED.AX,AED.AX,1072,7,41.36,ConstantTrend+NoCycle+NoAR,7,0.0004,0.0004,528169.0141,5.28169014084e-05,5.28169014084e-05,-194.273755207
Yahoo_Stock_Price_AEZ.AX,AEZ.AX,261,7,17.59,Lag1Trend+NoCycle+NoAR,7,0.0,0.0,0.0,0.0,0.0,1.0
Yahoo_Stock_Price_AGG.AX,AGG.AX,1286,7,44.47,Lag1Trend+NoCycle+NoAR,7,0.0321,0.0328,0.8926,0.18,0.210848625457,-1.35757575579
Yahoo_Stock_Price_AGO.AX,AGO.AX,1299,7,47.06,Lag1Trend+NoCycle+NoAR,7,0.0524,0.0521,0.6857,0.000571428571429,0.000755928946018,2.49993750157e-05
Yahoo_Stock_Price_AGS.AX,AGS.AX,1299,7,49.45,Lag1Trend+NoCycle+NoAR,7,0.0184,0.0185,0.7347,0.000857142857143,0.00106904496765,-0.0769085800768
Yahoo_Stock_Price_AIA.AX,AIA.AX,1264,7,47.2,Lag1Trend+NoCycle+NoAR,7,0.0177,0.0179,2.0,0.12,0.140509277782,-2.6951871559
Yahoo_Stock_Price_AIO.AX,AIO.AX,1299,7,46.42,Lag1Trend+NoCycle+NoAR,7,0.0172,0.0174,10.4762,0.157142857143,0.160267633307,-24.8971189686
Yahoo_Stock_Price_AIZ.AX,AIZ.AX,1275,7,48.69,Lag1Trend+NoCycle+NoAR,7,0.0182,0.018,1.4857,0.0371428571429,0.0434248118673,-2.72580634645
Yahoo_Stock_Price_AJA.AX,AJA.AX,1298,7,47.97,Lag1Trend+NoCycle+NoAR,7,0.0066,0.0066,1.0971,0.0457142857143,0.0512695955569,-1.10457513933
Yahoo_Stock_Price_AJL.AX,AJL.AX,1219,7,43.9,Lag1Trend+NoCycle+NoAR,7,0.0735,0.0696,1.6286,0.0135714285714,0.0167971085947,-0.685975465831
Yahoo_Stock_Price_ALD.AX,ALD.AX,286,7,16.83,Lag1Trend+NoCycle+NoAR,7,0.0091,0.009,200000000.0,0.02,0.02,-27999999.0
Yahoo_Stock_Price_ALL.AX,ALL.AX,1299,7,47.76,Lag1Trend+NoCycle+NoAR,7,0.0463,0.0476,3.9127,0.704285714286,0.767174779863,-5.36011379577
Yahoo_Stock_Price_AMC.AX,AMC.AX,1299,7,45.84,Lag1Trend+NoCycle+NoAR,7,0.0077,0.0077,1.1475,0.118571428571,0.132933925585,-0.429349618685
Yahoo_Stock_Price_AMP.AX,AMP.AX,1299,7,47.06,Lag1Trend+NoCycle+NoAR,7,0.0169,0.0171,2.0394,0.0985714285714,0.10494896719,-7.48584896321
Yahoo_Stock_Price_ANG.AX,ANG.AX,1299,7,45.59,Lag1Trend+NoCycle+NoAR,7,0.0253,0.0255,1.4026,0.00257142857143,0.00316227766017,-0.00822900049321
Yahoo_Stock_Price_ANN.AX,ANN.AX,1299,7,49.61,Lag1Trend+NoCycle+NoAR,7,0.0115,0.0114,1.4928,0.221428571429,0.274876595688,-1.84836128482
Yahoo_Stock_Price_ANZ.AX,ANZ.AX,1299,7,46.81,Lag1Trend+NoCycle+NoAR,7,0.0201,0.0203,4.0489,0.512857142857,0.547030947153,-7.26171962712
Yahoo_Stock_Price_APA.AX,APA.AX,1299,7,47.05,Lag1Trend+NoCycle+NoAR,7,0.0287,0.0291,4.8,0.28,0.290516780927,-13.0666666332
Yahoo_Stock_Price_APE.AX,APE.AX,1283,7,45.25,Lag1Trend+NoCycle+NoAR,7,0.0274,0.0279,1.939,0.332857142857,0.392992184582,-1.36520189972
Yahoo_Stock_Price_API.AX,API.AX,1299,7,48.0,Lag1Trend+NoCycle+NoAR,7,0.0719,0.075,3.8073,0.136428571429,0.146981534312,-6.22330259259
Yahoo_Stock_Price_APN.AX,APN.AX,1299,7,50.09,Lag1Trend+NoCycle+NoAR,7,0.0085,0.0085,0.8571,0.0342857142857,0.0385449644664,-0.368421034626
Yahoo_Stock_Price_APZ.AX,APZ.AX,1299,7,48.02,Lag1Trend+NoCycle+NoAR,7,0.0111,0.0112,1.0857,0.0135714285714,0.0172171011331,-0.0449639761529
Yahoo_Stock_Price_AQA.AX,AQA.AX,776,7,30.88,Lag1Trend+NoCycle+NoAR,7,0.003,0.003,1.5,0.01,0.0136277028774,-0.378787732553
