Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
Yahoo_Stock_Price_A2A.MI,A2A.MI,1297,7,44.7,Lag1Trend+NoCycle+NoAR,7,0.0233,0.0237,2.4857,0.029,0.0352440471164,-1.86234941668
Yahoo_Stock_Price_ACE.MI,ACE.MI,1297,7,45.31,Lag1Trend+NoCycle+NoAR,7,0.0493,0.051,2.8696,0.55,0.648239373777,-2.56978155296
Yahoo_Stock_Price_ACO.MI,ACO.MI,1297,7,47.14,Lag1Trend+NoCycle+NoAR,7,0.0222,0.022,1.5247,0.132142857143,0.148816761729,-0.687806203933
Yahoo_Stock_Price_ACP.MI,ACP.MI,908,7,35.73,Lag1Trend+NoCycle+NoAR,7,0.0474,0.0459,2.6803,0.0422142857143,0.0491517330024,-2.81147664349
Yahoo_Stock_Price_ACS.MI,ACS.MI,1294,7,48.63,Lag1Trend+NoCycle+NoAR,7,0.0153,0.0152,2.1933,0.0248571428571,0.0268221656737,-6.08440414809
Yahoo_Stock_Price_AE.MI,AE.MI,1297,7,45.12,Lag1Trend+NoCycle+NoAR,7,0.0084,0.0083,0.587,0.00304285714286,0.0036108962085,-0.0965420026442
Yahoo_Stock_Price_AEF.MI,AEF.MI,1297,7,45.99,Lag1Trend+NoCycle+NoAR,7,0.0149,0.0149,1.0549,0.016,0.0174846871781,-0.0552267724247
Yahoo_Stock_Price_AEG.MI,AEG.MI,450,7,21.31,Lag1Trend+NoCycle+NoAR,7,0.0136,0.0137,7.5918,0.0885714285714,0.089602295889,-42.7111077114
Yahoo_Stock_Price_AFI.MI,AFI.MI,972,7,36.68,Lag1Trend+NoCycle+NoAR,7,0.0317,0.0321,1.8375,0.49,0.579741321625,-0.12443330779
Yahoo_Stock_Price_AGL.MI,AGL.MI,1297,7,47.58,Lag1Trend+NoCycle+NoAR,7,0.0156,0.0157,3.309,0.118571428571,0.126095202129,-7.63747221678
Yahoo_Stock_Price_AIC.MI,AIC.MI,440,7,20.81,ConstantTrend+NoCycle+NoAR,7,0.0063,0.0063,7745664.7399,0.000774566473988,0.000774566473988,-41995.7255839
Yahoo_Stock_Price_AMP.MI,AMP.MI,1297,7,45.15,Lag1Trend+NoCycle+NoAR,7,0.0408,0.0418,5.8263,0.359285714286,0.372755185841,-13.0916381872
Yahoo_Stock_Price_ARN.MI,ARN.MI,1297,7,39.07,Lag1Trend+NoCycle+NoAR,7,0.0124,0.0124,0.9103,0.0195714285714,0.023865695644,-0.000896546384034
Yahoo_Stock_Price_ASC.MI,ASC.MI,1297,7,45.19,Lag1Trend+NoCycle+NoAR,7,0.0236,0.024,1.8254,0.0657142857143,0.0748331477355,-3.36942670289
Yahoo_Stock_Price_AST.MI,AST.MI,1297,7,46.16,Lag1Trend+NoCycle+NoAR,7,0.0236,0.024,1.4848,0.098,0.129920855029,-0.208831231371
Yahoo_Stock_Price_AT.MI,AT.MI,1297,7,45.05,Lag1Trend+NoCycle+NoAR,7,0.0038,0.0038,0.6652,0.0371428571429,0.0502849025909,-0.131506842082
Yahoo_Stock_Price_ATL.MI,ATL.MI,1297,7,47.74,Lag1Trend+NoCycle+NoAR,7,0.0047,0.0046,0.9495,0.102857142857,0.136591152192,-0.910154614841
Yahoo_Stock_Price_AZM.MI,AZM.MI,1297,7,45.53,Lag1Trend+NoCycle+NoAR,7,0.0191,0.0193,1.0612,0.297142857143,0.350876453633,-0.523768628172
Yahoo_Stock_Price_B.MI,B.MI,1288,7,47.02,Lag1Trend+NoCycle+NoAR,7,0.0251,0.0246,1.4813,0.0254285714286,0.0299809463302,-2.5634302189
Yahoo_Stock_Price_BAN.MI,BAN.MI,1297,7,46.8,Lag1Trend+NoCycle+NoAR,7,0.1162,0.1252,3.2999,0.388285714286,0.440195411153,-3.50567549668
Yahoo_Stock_Price_BB.MI,BB.MI,1005,7,38.74,Lag1Trend+Seasonal_DayOfMonth+NoAR,7,1.68,0.8977,15.2829,85.824028615,86.8210833449,-125.928032053
Yahoo_Stock_Price_BDB.MI,BDB.MI,1297,7,46.93,Lag1Trend+NoCycle+NoAR,7,0.0082,0.0082,1.2537,0.014,0.0169452901168,-2.15046972563
Yahoo_Stock_Price_BDBR.MI,BDBR.MI,1293,7,44.06,Lag1Trend+NoCycle+NoAR,7,0.0258,0.0261,58.4571,0.0487142857143,0.0487456957807,-775.203044386
Yahoo_Stock_Price_BE.MI,BE.MI,1297,7,44.13,Lag1Trend+NoCycle+NoAR,7,0.0111,0.011,2.5368,0.00418571428571,0.00466062534124,-4.17024376192
Yahoo_Stock_Price_BF.MI,BF.MI,1297,7,45.82,Lag1Trend+NoCycle+NoAR,7,0.0078,0.0079,1.1931,0.147142857143,0.156980435542,-1.32838410793
Yahoo_Stock_Price_BFE.MI,BFE.MI,1297,7,40.04,Lag1Trend+NoCycle+NoAR,7,0.023,0.0227,1.877,0.00741428571429,0.008358827669,-3.68977112567
Yahoo_Stock_Price_BGN.MI,BGN.MI,1297,7,45.88,Lag1Trend+NoCycle+NoAR,7,0.0183,0.0181,1.3407,0.348571428571,0.381687980274,-5.02413501754
Yahoo_Stock_Price_BIA.MI,BIA.MI,1291,7,45.31,Lag1Trend+NoCycle+NoAR,7,0.0323,0.033,4.8899,0.00994285714286,0.0107854399208,-5.66038249326
Yahoo_Stock_Price_BIM.MI,BIM.MI,1290,7,46.79,Lag1Trend+NoCycle+NoAR,7,0.0245,0.0241,2.3596,0.035,0.042397776222,-2.13947097955
Yahoo_Stock_Price_BLZ.MI,BLZ.MI,1281,7,44.61,Lag1Trend+NoCycle+NoAR,7,0.0055,0.0055,2.8457,0.0237142857143,0.0260219687407,-4.89971477066
Yahoo_Stock_Price_BMPS.MI,BMPS.MI,1297,7,46.48,Lag1Trend+NoCycle+NoAR,7,0.1002,0.0938,2.9684,0.0294857142857,0.0338939522629,-3.11177577031
Yahoo_Stock_Price_BNG.MI,BNG.MI,271,7,13.39,Lag1Trend+NoCycle+NoAR,7,0.0006,0.0006,1.3714,0.00114285714286,0.00169030850946,-0.842088296555
Yahoo_Stock_Price_BNS.MI,BNS.MI,1297,7,46.93,Lag1Trend+NoCycle+NoAR,7,0.036,0.0368,2.1391,0.0205,0.0227698108405,-4.27890832307
Yahoo_Stock_Price_BOE.MI,BOE.MI,702,7,29.45,Lag1Trend+NoCycle+NoAR,7,0.0,0.0,0.0,0.0,0.0,1.0
Yahoo_Stock_Price_BP.MI,BP.MI,1297,7,46.27,Lag1Trend+NoCycle+NoAR,7,0.0172,0.0174,0.8237,0.0422857142857,0.0507880750908,-0.238457309057
Yahoo_Stock_Price_BRE.MI,BRE.MI,1297,7,47.87,Lag1Trend+NoCycle+NoAR,7,0.0152,0.0153,1.5705,0.764285714286,0.886413318621,-0.235715707078
