Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
B&IND0001,B&IND0001,104,26,10.16,ConstantTrend+NoCycle+AR,26,0.2091,0.1867,1.9425,239.55490503336253,312.6779227077841,-3.2970984992672427
B&IND0002,B&IND0002,104,26,9.01,Lag1Trend+NoCycle+NoAR,26,0.1925,0.215,0.9214,2321.730769230769,3270.8262599956183,-0.5323647223859245
B&IND0003,B&IND0003,104,26,10.18,ConstantTrend+NoCycle+AR,26,0.2001,0.2284,1.9996,963.1617338692151,1141.7841793730452,-2.738776466562098
B&IND0004,B&IND0004,104,26,11.28,ConstantTrend+NoCycle+AR,26,0.3025,0.2295,1.3416,78.9944038934466,102.99368928264245,-1.2595767477109634
B&IND0005,B&IND0005,104,26,10.15,ConstantTrend+NoCycle+AR,26,0.1906,0.161,1.2645,73.59370167148762,105.47314390410268,-0.714746307353519
B&IND0006,B&IND0006,104,26,10.74,ConstantTrend+NoCycle+AR,26,0.0808,0.0803,1.1771,45.15311329002239,57.10764781482807,-0.5233650459091144
B&IND0007,B&IND0007,104,26,10.96,ConstantTrend+Cycle+AR,26,0.2617,0.2411,1.1687,897.214367692392,1071.8836810371388,-0.30377617600653584
B&IND0008,B&IND0008,104,26,9.82,ConstantTrend+NoCycle+AR,26,0.1189,0.1101,1.2819,398.5260790388863,455.3020730916403,-0.3923199773191106
B&IND0009,B&IND0009,104,26,10.17,ConstantTrend+NoCycle+AR,26,0.0933,0.0918,1.6087,263.0571587406284,319.3629638373079,-0.48548777232254103
B&IND0010,B&IND0010,104,26,10.94,PolyTrend+NoCycle+AR,26,0.2846,0.3402,2.8653,544.1829681975437,618.5296078291788,-5.484952255763785
B&IND0011,B&IND0011,104,26,11.08,ConstantTrend+NoCycle+AR,26,0.2912,0.2477,1.2187,724.5622120684118,931.4641377474233,-0.5268608618564476
B&IND0012,B&IND0012,104,26,10.37,PolyTrend+NoCycle+NoAR,26,0.2555,0.3,1.2201,835.3464064405341,1124.0510117341662,-0.5441939185547728
B&IND0013,B&IND0013,104,26,11.04,ConstantTrend+NoCycle+AR,26,0.6058,0.4609,2.2524,1381.7423569793018,1444.4838782821594,-1.776385847525086
B&IND0014,B&IND0014,104,26,9.73,ConstantTrend+NoCycle+AR,26,0.0815,0.0828,0.8485,310.20969069071987,429.99956799851526,0.2303897701136184
B&IND0015,B&IND0015,104,26,9.51,ConstantTrend+NoCycle+AR,26,0.082,0.0872,0.8213,460.89777700707924,649.7612707038636,-0.33503505666657163
B&IND0016,B&IND0016,104,26,9.77,ConstantTrend+Cycle+AR,26,0.6839,0.4855,4.9869,246.95164210320678,262.8943135475675,-15.497779429647323
B&IND0017,B&IND0017,104,26,9.76,ConstantTrend+Cycle+AR,26,0.6419,0.4669,5.2896,181.11592123465866,194.3674863318758,-25.20399604581259
B&IND0018,B&IND0018,104,26,9.62,ConstantTrend+NoCycle+AR,26,0.5939,0.4387,5.9694,280.80190223749184,303.877755480842,-30.661656748969957
B&IND0019,B&IND0019,104,26,9.85,ConstantTrend+NoCycle+AR,26,0.111,0.12,1.2058,98.6862725379815,126.21977092910097,-0.6313247438743532
B&IND0020,B&IND0020,104,26,10.21,ConstantTrend+NoCycle+AR,26,0.0886,0.0827,1.365,56.240016663731744,71.57958703621419,-2.7478615995120528
B&IND0021,B&IND0021,104,26,9.16,ConstantTrend+NoCycle+NoAR,26,0.0584,0.059,0.9466,3403.045857988167,4336.210205308213,-0.3671574464192484
B&IND0022,B&IND0022,104,26,9.22,ConstantTrend+NoCycle+NoAR,26,0.0892,0.0945,1.8294,12068.51923076923,13769.111377987436,-3.31478312533088
B&IND0023,B&IND0023,104,26,9.34,ConstantTrend+NoCycle+NoAR,26,0.0735,0.0696,0.7234,466.6841715976331,642.3270869509686,-0.08558794887323029
B&IND0024,B&IND0024,104,26,9.89,PolyTrend+NoCycle+NoAR,26,0.1032,0.0941,0.9643,1238.7593796466556,1644.6828773577843,-0.9618921500687847
B&IND0025,B&IND0025,104,26,8.98,PolyTrend+NoCycle+NoAR,26,0.0947,0.1026,0.6878,361.7776829563231,569.4765332604422,-0.2344890420886041
B&IND0026,B&IND0026,104,26,9.42,ConstantTrend+NoCycle+AR,26,0.6895,1.0913,7.2529,6208.787128412194,6547.054510224741,-9.088310243764333
B&IND0027,B&IND0027,104,26,8.72,LinearTrend+NoCycle+NoAR,26,0.1487,0.1633,2.704,143.5257259620453,159.41118160603196,-8.863133139546058
B&IND0028,B&IND0028,104,26,9.54,ConstantTrend+NoCycle+AR,26,0.6993,1.1087,6.7852,10883.439281748872,11573.352065951423,-7.306726718899281
B&IND0029,B&IND0029,104,26,8.86,LinearTrend+NoCycle+NoAR,26,0.0831,0.0884,1.544,140.9340642722336,175.52162132545968,-2.3502770710033674
B&IND0030,B&IND0030,104,26,9.82,ConstantTrend+NoCycle+AR,26,0.689,1.0891,6.2238,2750.1812863338637,2926.031079383438,-7.82470778264657
B&IND0031,B&IND0031,104,26,9.76,ConstantTrend+NoCycle+AR,26,0.187,0.2096,2.4907,69.44151977309949,75.96411141026333,-5.582579456080901
B&IND0032,B&IND0032,104,26,11.3,ConstantTrend+NoCycle+AR,26,0.6457,0.9845,6.6045,82610.8137079573,87676.31884398518,-7.73593254428271
B&IND0033,B&IND0033,104,26,10.45,ConstantTrend+NoCycle+AR,26,0.1243,0.1332,3.1165,2375.654061924217,2474.001874420461,-10.835928066952881
B&IND0034,B&IND0034,104,26,9.9,ConstantTrend+NoCycle+AR,26,0.6409,0.9792,5.9003,34243.220507459395,36659.000854295555,-6.781727418690823
B&IND0035,B&IND0035,104,26,9.56,ConstantTrend+NoCycle+AR,26,0.0684,0.0662,1.6349,693.3094133595049,798.1479448806415,-2.101592601105333
B&IND0036,B&IND0036,104,26,10.55,ConstantTrend+NoCycle+AR,26,0.6833,1.0769,6.1348,13554.68840662193,14397.973431452046,-7.960509665030374
B&IND0037,B&IND0037,104,26,8.77,LinearTrend+NoCycle+NoAR,26,0.1299,0.1404,1.8681,392.00963197255686,428.666605404804,-4.346110375745783
B&IND0038,B&IND0038,104,26,10.42,Lag1Trend+NoCycle+NoAR,26,0.3169,0.3736,4.1225,26234.846153846152,26927.851192513557,-6.582289955230023
