Name,Signal,Length,Horizon,TrainingTime,Formula,Count,MAPE,SMAPE,MASE,L1,L2,R2
M2_COMP,ANIMAL,83,14,6.82,ConstantTrend+NoCycle+NoAR,14,0.2529,0.2119,2.0965,79796.31090909096,94153.82598267286,-2.2735708807589807
M2_COMP,BIGCAT,83,14,7.7,ConstantTrend+NoCycle+NoAR,14,0.184,0.1627,1.4141,22537.33324675326,27985.899292720635,-0.3341794032620209
M2_COMP,BUSINV,168,5,8.83,Lag1Trend+Cycle_Length_12+NoAR,5,0.1693,0.155,3.2974,20.690909090909102,21.598206996288972,-16.599395805195662
M2_COMP,CARDERS,83,14,5.8,LinearTrend+NoCycle+NoAR,14,0.2128,0.2019,0.784,3365.941610463928,4322.082467919478,0.06786890382839228
M2_COMP,CARINDS,83,14,8.58,ConstantTrend+NoCycle+AR(20),14,0.1212,0.1092,1.0745,88526.26320947251,115660.03860524391,-0.35508698677364325
M2_COMP,CHEETAH,83,14,8.37,ConstantTrend+NoCycle+NoAR,14,0.1077,0.1124,0.9068,3376.5342857142864,4012.751568167232,-0.416164722863561
M2_COMP,COMPIND,168,5,8.41,Lag1Trend+Cycle_Length_7+NoAR,5,0.0368,0.0376,2.6666,7.733274853801168,8.242833475224634,-3.1054952204404787
M2_COMP,CPAPEUR,95,14,6.25,LinearTrend+NoCycle+AR(23),14,0.1116,0.1223,6.3043,29398.35017139354,36720.968836400236,-142.8745497190412
M2_COMP,CPAPUSA,226,15,7.13,PolyTrend+Cycle_Length_12+NoAR,15,0.0441,0.0435,0.5672,40309.33325586872,55614.27687624882,-0.13047071992884063
M2_COMP,FIXINV,168,5,7.98,Lag1Trend+NoCycle+NoAR,5,0.0165,0.0165,1.1464,8.339999999999998,9.253215657272877,-0.0029283605863741347
M2_COMP,FLMARKT,95,14,6.63,Lag1Trend+Cycle_Length_5+NoAR,14,1.0296,0.6434,4.7107,159024.35164835164,164676.318164741,-12.329565494766374
M2_COMP,INDSHIPF,95,14,6.69,Lag1Trend+NoCycle+NoAR,14,0.0803,0.0813,0.9152,190.57142857142858,230.27902329875505,-0.04402105083830454
M2_COMP,INTERSAL,95,14,8.31,LinearTrend+NoCycle+NoAR,14,42704390495010.664,1.8878,18.9998,4798.178891084506,4825.850357278906,-86.44975487624973
M2_COMP,IPDGNP,168,5,8.12,Lag1Trend+Cycle_Length_5+NoAR,5,0.0149,0.0151,1.6079,1.8892307692307697,2.070580057652427,-0.5346870615396713
M2_COMP,IPDIMP,168,5,6.83,Lag1Trend+NoCycle+NoAR,5,0.0458,0.0469,3.84,4.7999999999999945,4.883441409498014,-28.51485148441779
M2_COMP,LION,83,14,7.71,LinearTrend+NoCycle+NoAR,14,0.4509,0.3087,2.0805,5000.596930989863,6550.426312493639,-1.396816486433817
M2_COMP,METOGEN,83,14,5.63,ConstantTrend+NoCycle+NoAR,14,0.2695,0.3187,1.1733,4669.9000000000115,5786.731077836781,-0.948344416859771
M2_COMP,NEWRX,83,14,5.49,PolyTrend+NoCycle+NoAR,14,0.4323,0.3515,9.4478,483.2911100529945,497.96829125325814,-101.4653494648538
M2_COMP,OEMUSAL,95,14,7.76,ConstantTrend+NoCycle+NoAR,14,0.2935,0.3645,1.8591,48861.49107142857,59781.50519723273,-2.012373071098588
M2_COMP,PANTER,83,14,6.95,Lag1Trend+Cycle_Length_5+NoAR,14,1.7901,0.5513,2.795,7982.237012986991,10937.02427274072,-0.4162849982809087
M2_COMP,PHARMA11,46,14,4.83,Lag1Trend+NoCycle+NoAR,14,0.3001,0.3414,1.0318,595851.1428571428,735413.9352268606,-0.6291057829598647
M2_COMP,PHARMA22,83,14,5.65,ConstantTrend+Cycle_Length_5+AR(20),14,0.3911,0.3119,1.3773,1150249.5818546077,1338418.2374482695,-1.4768320902315906
M2_COMP,PHARMA33,83,14,6.06,ConstantTrend+NoCycle+AR(20),14,0.3283,0.2578,0.9877,805871.3612742828,998765.1670826726,-0.41701986643745137
M2_COMP,REALGNP,168,5,8.29,Lag1Trend+NoCycle+NoAR,5,0.0321,0.0327,5.3876,132.94000000000005,137.9092962783873,-13.130726224773415
M2_COMP,REFILLS,83,14,5.32,Lag1Trend+NoCycle+NoAR,14,0.0514,0.0533,1.0807,187.28571428571428,223.24138121261095,-1.5477962388168693
M2_COMP,RESDVSAL,95,14,7.25,PolyTrend+NoCycle+AR(23),14,0.2715,0.2331,1.7225,6505.608932513656,7111.429198232947,-4.0054514247127155
M2_COMP,TRADUSAL,95,14,6.44,Lag1Trend+NoCycle+NoAR,14,6.1232,1.0557,4.1011,32430.928571428572,34996.03204344336,-6.0810740977150886
M2_COMP,UNCPAPEUR,95,14,6.19,ConstantTrend+NoCycle+AR(23),14,0.0841,0.0844,0.3841,24632.212380546924,28359.756899552212,0.6786230694246345
M2_COMP,UNCPAPUSA,226,15,6.91,Lag1Trend+Cycle_Length_12+NoAR,15,0.0644,0.0617,0.8074,37080.80952380954,46677.70904111014,-0.025534002958982338
